TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
WX4,Yleisanestesiat,Yleisanestesiat,Generella anestesier,2330
TDW99,"Muu korvan,nenän/kurkunpään pientmp","Muu korvan, nenän tai kurkunpään pientoimenpide","Annat mindre ingrepp på öron, näsa, svalg och larynx",2323
XX1VW,Radiologin lausunto,Radiologin lausunto,Radiologens utlåtande,2315
TPH15,Keskuslaskimokatetri kaulalaskimosta,Keskuslaskimokatetrin asettaminen kaulalaskimon kautta,Inläggande av CVK via vena jugularis (externa eller interna),2308
KEC01,Eturauh täyd poisto tähyst iholta,Eturauhasen täydellinen poisto tähystyksessä iholta,Perkutan endoskopisk radikal prostatektomi,2242
WX200,Interskaleeninen olkapunospuudutus,Interskaleeninen olkapunoksen puudutus,Interskalenär plexusblockad,2212
JN4DR,Keskikehon aineenvaihdunnan PET-TT,Keskikehon (kulmakarvoista munuaistasolle) aineenvaihdunnan PET-tietokonetomografia-tutkimus,Hela kroppen metabolisk PET med DT,2198
H0293,,,,2190
LCD00,Kohdunpoisto,Kohdunpoisto,Öppen hysterektomi,2188
H0284,,,,2187
RS311,,,,2178
JN1DG,Ylävatsan er.l.VKMT,Ylävatsan erittäin laaja magneettitutkimus,"Övre del av buken, mycket omfattande MR",2159
PJD71,"Imusolmukeiden poisto kaulalta, vähintään 5 tasoa","Imusolmukkeiden poisto kaulalta, vähintään 5 tasoa","Exstrirpation av cervikala lymfkörtlar, minst 5 regioner",2156
H0060,,,,2137
H0121,,,,2130
H0141,,,,2126
WVC10,Subkutaaninen infuusiopumppuhoito,Subkutaaninen infuusiopumppuhoito,Subkutan läkemedelsinfusion,2119
TNX33,Muovailtava sidos,Muovailtava sidos,Anläggande bandage av formbart material,2118
AAB10,Aivokasvain/muutos resektio,Aivokasvaimen tai aivomuutoksen poisto osittain,Delresektion av intrakranial tumör/förändring,2115
NA3SA,"Lanneranka rtg,seist",Lannerangan röntgen seisten  *,"Ländrygg, röntgen stående *",2105
YA1BD,Pää ja kaula laaja annossuunnittelu-TT,Pään ja kaulan laaja annossuunnittelu-TT,Huvud- och halsregionens omfattande DT för dosplanerings,2099
TPH90,Kiinteän suonikanyylin poisto,Kiinteän suonikanyylin ja/tai infuusioportin poisto,Avlägsnande av permanent kärlkateter och/eller infusionsport,2084
JAH00,Vatsaontelon tutkimusleikkaus,Vatsaontelon tutkimusleikkaus,Explorativ laparotomi,2078
NA1AD,Kaularangan TT,Kaularangan tietokonetomografiatutkimus,"Halsrygg, DT",2073
K230,,,,2064
H0002,,,,2063
WX199,Muu paikallispuudutus,Muu paikallispuudutus,Annan lokalbedövning,2062
NH1BA,"Nilkan rtg, laaja",Nilkan laaja röntgen,"Fotled, omfattande röntgen",2048
QDB10,Alaraajan ihohaavan tarkistus/sidevaihto,Alaraajan ihohaavan tarkistus ja siteenvaihto,Inspektion/förbandsbyte vid sår på nedre extremiteten,2047
H0129,,,,2014
GD1AD,Thorax TT,Thoraxin tietokonetomografiatutkimus,"Toraxregion, DT",1995
XGX32,Ultraäänitutkimus bronkoskopiassa,Ultraäänitutkimus keuhkoputken tähystyksessä,Bronkoskopisk ultraljudsundersökning,1989
H0454,,,,1985
H0565,,,,1976
1279,,,,1963
JA1AE,Nivusten ja/tai vatsapeitteiden UÄ,Nivusten ja/tai vatsapeitteiden ultraäänitutkimus,"Ljumske och bukvägg, UL",1949
JJ2AT,"Maksakudosnäyte,UÄ-o",Maksan kudosnäytteen otto UÄ-ohjauksessa,"Lever, UL-styrd vävnadsbiopsi",1932
KH1AD,Virtsaelinten TT,Virtsaelinten tietokonetomografiatutkimus,"Urinorganen, DT",1931
LCA13,Kohdun runko-osan ja kaulan kaavinta,Kohdun runko-osan ja kaulan kaavinta,Abrasio av cervix och corpus uteri,1920
WX723,CPAP-hoito,CPAP-hoito,CPAP-behandling,1918
H0479,,,,1916
UJK02,ERCP ja katetrointi,Sappi- ja haimatiehyen kanylointi ja varjoainekuvaus (ERCP) pohjukaissuolen kautta,ERCP (Endoskopisk Retrograd Cholangio-Pancreatikografi),1913
F340,,,,1893
QXA20,"Ihon hionta, paikkaa ei määritelty","Ihon hionta, paikkaa ei määritelty","Dermabrasion, ospecificerad region",1890
KE3AT,Eturauhasen kultajyvämerkkaus UÄ-ohjauksessa peräs,Eturauhasen kultajyvämerkkaus UÄ-ohjauksessa peräsuolen kautta,Rektal prostata markering med guldgryn UL styrd,1885
H0220,,,,1877
H0356,,,,1832
DM1AI,Sinuksen kartiokeila-TT,Sinuksen kartiokeilatutkimus,"Sinus, cone-beam DT",1829
QX3HE,Pinnall.resist.UÄ,Pinnallisen resistenssin ultraäänitutkimus,"Ytlig resistens, UL",1816
NF1DA,Lonkkien rtg,Lonkkien röntgen,"Höftleder, röntgen",1811
WZC05,Erikoisalakohtainen konsultaatio,Hammaslääkärin tai lääkärin lähetteeseen perustuva erikoisalakohtainen konsultaatio,Specialistkonsultation,1804
TKC20,Virtsarakkokatetrin asettaminen,Virtsarakkokatetrin asettaminen,Katetrisering av urinblåsan,1800
UJF45,"Sigmasuolen tähystys, sigmoideoskopia","Sigmasuolen tähystys, sigmoideoskopia",Sigmoideoskopi med flexibla instrument,1800
JN5AN,Koko kehon gammakuvaus,Koko kehon gammakuvaus,"Hela kroppen, isotopundersökning",1794
WX610,PCA,Potilaan annostelema kivunhoito (PCA),Smärtbehandlind utförd av patienten själv,1793
XX1XN,Muu isotooppitutkimus,Muu isotooppitutkimus,Annan isotopundersökning,1792
2682,,,,1780
BA1AE,Kilpirauhasen UÄ,Kilpirauhasen ultraäänitutkimus,"Sköldkörtel, UL",1767
WD505,Laaj lev kasv yks ent-inhib tms hoito,Laajalle levinneen kasvaimen yksinkertainen entsyymi-inhibiittori- ja vastaava hoito,Enkel behandling av metastaserad tumör med entsym inhibitor eller motsvarande,1762
R1220,Psykologinen arvio,Psykologinen arvio  kuntoutustarpeesta ja -mahdollisuuksista,Psykologisk bedömning av behov och möjligheter till rehabilitering,1749
NK6AQ,Luuston SPET ja matala-annos TT,Luuston SPET ja matala-annos-TT,Hela kroppens ben SPET med lågdos DT,1742
ND1BA,"Ranteen rtg, laaja",Ranteen laaja röntgen,"Handled, omfattande röntgen",1732
XF402,Rasitus EKG,Kuormituskoe,Belastnings test,1724
WQ000,Siedätyshoito,Siedätyshoito,Hyposensibilering,1715
HAB40,"Rintarauhasen osan poisto, segmenti","Rintarauhasen osan poisto, segmentti",Segmentresektion av bröstkörtel,1712
TQW80,Ihotautipotilaan paikallishoito,Ihotautipotilaan paikallishoito,Lokal dermatologisk hudvård,1700
TAB24,Epiduraaliportin asennus,Epiduraaliportin asennus,Ingläggning av epiduralport,1697
JAH01,Eksploratiivinen laparoskopia,Vatsaontelon tähystys tutkimustarkoituksessa,Diagnostisk laparoskopi,1696
H0014,,,,1693
PA6DE,Kaulavaltimodoppler,Kaulan valtimoiden doppler-UÄ,"Halskärlen, UL med dopplerteknik",1684
H0150,,,,1680
PA3AC,Karotisangiografia,Karotisvaltimoiden selektiivinen varjoainetutkimus,Selektiv karotisangiografi,1671
NA7CG,Selkärangan l.VKMT,Selkärangan ja selkäytimen laaja magneettitutkimus,"Ryggrad och ryggmärg, omfattande MR",1660
WD205,Laaj lev kasv yks horm.hoito,Laajalle levinneen kasvaimen yksinkertainen hormonihoito,Enkel hormonbehandling av vitt spridd tumör,1657
NA3CG,Lannerangan l.VKMT,Lannerangan laaja magneettitutkimus,"Ländrygg, MR omfattande",1653
K110,,,,1645
NE1CG,Lonkan l.VKMT,"Lantion, lonkan ja/tai reiden laaja magneettitutkimus","Höftled och/eller femur, omfattande MR",1644
H0303,,,,1637
HAC20,Rintarauhasen poisto,Rintarauhasen poisto,Mastektomi (ablatio mammae),1632
PD5BD,Aortan laaja TT,Aortan laaja TT-angiografia,Aortas omfattande DT,1626
H0117,,,,1621
H0491,,,,1619
TNX00,TULE pehmytkudospisto/punktio,Tuki- ja liikuntaelinten pehmytkudospisto,Punktion av mjuka delar i ortopedin,1602
H0572,,,,1594
F300,,,,1592
H0561,,,,1582
QXA50,"Ihon jäädytyskäsittely, paikkaa ei määri","Ihon jäädytyskäsittely, paikkaa ei määritelty","Kryobehandling av hud, ospecifeserad region",1579
WZB00,Puhelinohje/resepti,Puhelimitse annettu hoito-ohje ja mahdollinen resepti,Vårddirektiv och ev. recept givna per telefon,1578
GD1ED,Keuhkokudoksen laaja HR-TT,Keuhkokudoksen laaja HR-tietokonetomografiatutkimus,"Lungor, omfattande högresolutions-DT",1570
GBB00,Henkitorviavanteen teko,Henkitorviavanteen teko,Trakeostomi,1568
KCD02,"Virtsarakon resektio tähystyksessä,TURB","Virtsarakon muutoksen poisto virtsatietähystyksessä, TURB","Transuretral delresektion av urinblåsan, TUR-B",1564
XX1ZW,Radiologin erittäin laaja lausunto,Radiologin erittäin laaja lausunto,Radiologens mycket omfattande utlåtande,1564
TLC00,Kohdunsisäisen ehkäisimen asettamin,Kohdunsisäisen kierukan asettaminen (IUD),Inläggning av intraunterin spiral (IUD),1560
UJF92,Kapseliendoskopia,Kapseliendoskopia,Kapsulärendoskopi,1548
KC1GB,Kystografia,Virtsarakon varjoainetutkimus (kystografia),Cystografi,1539
2068,,,,1538
ULC02,Kohdun tähystys,Kohdun tähystys,Hysteroskopi,1532
NA7DG,"Selkäranka,er.l.VKMT",Selkärangan ja selkäytimen erittäin laaja magneettitutkimus,"Ryggrad och ryggmärg, mycket omfattande MR",1524
H0265,,,,1520
XX1XW,Radiologin laaja lausunto,Radiologin laaja lausunto,Radiologens omfattande utlåtande,1519
H0004,,,,1517
H0945,,,,1514
WX780,Etäseuranta CPAP,Etäseuranta CPAP,Distansuppföljning av CPAP,1500
WXQ10,"PUVA-hoito, systeeminen herkistys","PUVA-hoito, systeeminen herkistys","Ljusbehandling, PUVA, systemisk sensitivisering",1496
HA003,Rintarauhasen ositt poiston jälk sädehoi,Rintarauhasen osittaisen poiston jälkeinen sädehoito,Strålbehandling efter delresektion av bröstkörtel,1493
WX730,Hengityskonehoito,Hengityskonehoito,Respiratorbehandling,1491
GAA10,Keuhkopussin kanavointi kylkiluuvälistä,Keuhkopussin kanavointi kylkiluiden välistä,Anläggande av interkostalt pleuradränage,1489
XF400,12-kytkentäinen EKG,12-kytkentäinen EKG,EKG med 12 led,1488
ZZR10,Iho-subkutis-lihaskieleke,Iho-subkutis-lihaskieleke,Muskulokutan lambå,1486
PJD54,Laaja imusolmukepoisto iliaka-alueelta,Imusolmukkeiden radikaalinen poisto lonkkavaltimoiden ympäriltä,Radikal utrymning av iliakala lymfkörtlar,1468
QAA50,Pään/kaulan ihomuutoksen jäädytyshoito,Pään tai kaulan ihomuutoksen jäädytyshoito,Kryoterapi av hudförändring i huvud-halsregionen,1464
R5140,Apuvälineen käytön seuranta,Apuvälineen käytön seuranta,Uppföljning av hjälpmedlets användning,1458
JA3BT,"Vatsaont.dren,lpv-oh",Vatsaontelon kanavointi LPV-ohjauksessa,"Bukhåla, genomlysningsstyrt dränage",1455
F904,,,,1449
H0120,,,,1448
H0115,,,,1445
6280,,,,1442
ED1AA,Alaleuan rtg,Alaleuan röntgen,"Underkäken, röntgen",1441
TQW40,Ompeleen tai ompeleiden poisto ihosta,Ompeleen tai ompeleiden poisto ihosta,Avlägsnande av stygn i hud,1434
XW4AT,"Sisäel,kudosnäyte,UÄ",Muun sisäelimen kudosnäytteen otto UÄ-ohjauksessa,"Annan inre organ, UL-styrd vävnadsbiopsi",1432
H0445,,,,1430
ZZQ00,"Iho-subkutis,mikrovaskulaarisiirre","Iho-subkutis, vapaa, verisuoniin liitetty siirre",Fritt hud/subcutis transplantat med mikrovaskulära anastomoser,1414
TGD00,Neulakudosnäytteen otto keuhkosta,Neulakudosnäytteen otto keuhkosta,Punktionsbiopsi av lunga,1413
EBA00,Hampaan poisto,Hampaan poisto,Tandextraktion,1411
TQW11,Haavan alipainesidoksen asetus (VAC),Haavan alipainesidoksen asetus (VAC),Vakuumbehandling av sår,1407
F921,,,,1405
KH1BD,Virtsaelinten laaja TT,Virtsaelinten laaja tietokonetomografiatutkimus,"Urinorganen, omfattande DT",1403
SBB10,Hampaiston jäljennökset,Hampaiston jäljennökset,Avtryck av tänderna,1400
RS130,,,,1399
H0633,,,,1398
F961,,,,1395
AA3AI,Kasvon luiden kartiokeila-TT,Kasvon luiden kartiokeilatutkimus,"Ansiktets ben, cone-beam DT",1390
HA4AT,"Rintar.merkk,UÄ-ohj",Rintarauhasen lankamerkkaus UÄ-ohjauksessa,"Bröstkörteltumör, UL-styrd märkning",1390
LDA20,Koepalan otto kohdun napukasta,Koepalan otto kohdun napukasta,Biopsi av portio,1388
LCD01,Kohdunpoisto vatsaontelon tähystyksessä,Kohdunpoisto vatsaontelon tähystyksessä,Laparoskopisk hysterektomi,1385
CKC12,Verkkokalvon fotokoagulaatio,Verkkokalvon fotokoagulaatio,Fotokoagulation av näthinna,1381
K224,,,,1374
WXQ12,"PUVA-hoito, paikallinen herkistys","PUVA-hoito, paikallinen herkistys",Ljusbehandling PUVA lokal sensitivisering,1373
F236,,,,1373
A121,,,,1367
WX1CG,Kokokehon laaja VKMT,Koko kehon laaja magneettitutkimus,"Hela kroppen, omfattande MR",1364
DM1AD,Nenän sivuonteloiden ja kasvojen TT,Nenän sivuonteloiden tietokonetomografiatutkimus,"Bihålor, DT-undersökning",1360
RS313,,,,1360
RS122,,,,1359
KED22,Eturauhasen höyläys virtsaputken kautta,Eturauhasen höyläys virtsaputken kautta,Transuretral resektion av prostata,1357
NH3DA,Jalkaterien rtg,Jalkaterien natiiviröntgen,"Båda fötter, röntgen",1344
PH1AE,"Yläraajalaskimot,UÄ",Yläraajalaskimoiden ultraäänitutkimus,"Övre extremitetens vener, UL",1341
RP123,,,,1336
PA7CD,Pään ja kaulan veris. laaja TT-an,Pään ja kaulan verisuonten erittäin laaja TT-angiografia,Huvudets och halsens mycket omfattande DT-angiografi,1321
ND2DA,Käsien natiiviröntgen,Käsien natiiviröntgen,"Händerna, röntgen",1316
AA1AA,Kallon rtg,Kallon röntgen,"Skalle, röntgen",1310
NE1BG,Lonkan VKMT,"Lantion, lonkan ja/tai reiden magneettitutkimus","Höftled och/eller femur, MR",1307
ZZA50,Koko iho,Koko iho,Fritt fullhudtransplantat,1305
HA6AA,Mammapreparaatti-rtg,Rintarauhaspreparaatin röntgen (mammapreparaattiröntgen),"Mammografi, preparat",1302
JKA21,Sappirakon poisto LAP,Sappirakon poisto vatsaontelon tähystyksessä,Laparoskopisk cholecystektomi,1300
HAD30,Rintojen pienennys/nännien kielekesiirto,Rintarauhasen pienennys ja nänninpihan kielekesiirto,Reduktion av bröst med transposition av areola,1297
H0944,,,,1296
TQW20,Tatuointi,Tatuointi,Tatuering,1288
XKD03,Virtsaputken paineprofiilin mittaus,Virtsaputken paineprofiilin mittaus,Registrering av tryckprofilen i uretra,1287
S2700,,,,1285
TKC10,Virtsarakkopisto,Virtsarakkopisto,Perkutan punktion/dränage av urinblåsan,1284
XZZ00,Todetun syöpäsairauden aktiivinen seuranta,Todetun syöpäsairauden aktiivinen seuranta,Aktiv monitorering av konstaterad cancersjukdom,1284
AAB00,Aivokasvain tai aivomuutos poisto,Aivokasvaimen tai aivomuutoksen poisto,Total exstirpation av intrakranial tumör eller lokal lesion,1281
JKE18,Sappiteiden sis kanavointi endoskopiassa,Sappiteiden sisäinen kanavointi mahasuolikanavan tähystyksessä,Endoskopiskt internt dränage av gallgång,1280
KE1AT,"Etur.kudosn,UÄ-ohj",Eturauhasen kudosnäytteen otto UÄ-ohjauksessa,"Prostata, UL-styrd vävnadsbiopsi",1269
YNB10,Siirteen selekointi ja käsittely,Perifeerisen verestä otettujen solujen selekointi ja käsittely siirtoa varten,Insamling av stammceller för transplantation,1259
TDM10,Poskiontelopunktio,Poskiontelopunktio,Punktion av sinus maxillaris,1251
NA1BA,"Kaularangan rtg,laaj",Kaularangan laaja röntgen,"Halsrygg, omfattande röntgen",1246
KE1DG,"Eturauhasen er. laaja magneettitutkimus (1,5T)",Eturauhasen erittäin laaja magneettitutkimus,"Prostata, mycket omfattande MR",1245
XKC03,Rakon vesikystometria,"Rakon urodynaaminen tutkimus, vesikystometria",Urodynamisk undersökning av urinblåsan (vätska),1243
ZX112,Ihon alle,Ihon alle,Subcutan,1235
LCB25,Kohdun muutoksen poisto kohduntähystys,Kohdun muutoksen poisto kohduntähystyksessä,Hysteroskopi med exstirpation av förändring,1231
JAP00,Vatsaontelon kiinnikkeiden vapautus,Vatsaontelon kiinnikkeiden vapautus,Friläggande av adhesioner i peritoneum,1222
H0261,,,,1221
FN2BA,Stentin asentaminen sepelvaltimoon,Sepelvaltimon suonensisäinen laajennus stentillä (sisältää pallolla tehtävän esilaajennuksen),Perkutan transluminal koronarangioplastik (PTCA) med inläggande av stent (föregås av ballongdilatation),1218
QDE10,Alaraajan iho/subcutis muutos poisto,Alaraajan ihon tai ihonalaiskudoksen paikallisen muutoksen poisto koko ihon paksuudelta,"Excision av kutan/subkutan förändring från all skikter av hud, nedre extremiteten",1217
H0001,,,,1203
JC2AB,Ruokatorven rtg,Ruokatorven varjoainetutkimus,"Esofagus (matstrupen), kontrastundersökning",1201
UGC18,Koepalan otto keuhkoista taipuisalla täh,Koepalan otto keuhkoista taipuisalla tähystimellä,Flexibel bronkoskopi med biopsi från lunga,1199
R4120,Toimintaterapia,Toimintaterapia,Ergoterapi,1198
CBB30,Silmäluomikysta/arpi/kasvainpoisto,"Silmäluomen kystan, arven tai kasvaimen poisto",Exstirpation av tumör eller lokal förändring i ögonlock,1191
NA1BG,Kaularangan VKMT,Kaularangan magneettitutkimus,"Halsrygg, MR",1174
AA4CG,Sellan laaja magneettitutk vahvakent,Sellan laaja magneettitutkimus,"Sella, omfattande MR",1169
XX9GW,,,,1161
JK3BT,"Sappitiedren,lpv-ohj",Sappiteiden kanavointi LPV-ohjauksessa,"Gallgångar, genomlysningsstyrt dränage",1157
EBA15,Hampaiston saneeraus,Hampaiston saneeraus,Sanering av tänderna,1154
LCD04,Kohdunpoisto emättimen kautta + LAP,Kohdunpoisto vatsaontelon tähystyksessä emättimen kautta avustaen,Laparoskopiassisterad hysterektomi via vagina,1152
MA2AE,Raskaudentilan UÄ,Raskaudentilan ultraäänitutkimus,"Graviditet, UL",1148
N1302,,,,1147
H0721,,,,1143
ZXC10,Laser,Laser,Användande av laser,1143
RS211,,,,1142
H0634,,,,1135
QCE10,Yläraajan iho/subcutis muutos poisto,Yläraajan ihon tai ihonalaiskudoksen paikallisen muutoksen poisto koko ihon paksuudelta,"Excision av kutan/subkutan förändring från all skikter av hud, övre extremiteten",1129
JHB30,Peräpukamien hirtto kumilenkeillä tähyst,Peräpukamien sitominen kumilenkeillä tähystyksessä,Proktoskopisk gummiringsligatur av hemorrojder (Barron),1117
K1,,,,1117
FPE20,"Tahdistimen asenn, eteis- ja kammiojohdin, DDD(R)","Tahdistimen asennus, eteis- ja kammiojohdin, DDD(R)","Inläggande av permanent pacemaker, transvenös förmaks- och ventrikelelektrod",1116
RP215,,,,1116
RS224,,,,1112
TGC00,Keuhkoputkien huuhtelu,Keuhkoputkien huuhtelu,Bronkial lavation,1111
ZX040,Ontelonsisäinen HDR sädehoito,Ontelonsisäinen HDR sädehoito,HDR strålbehandling inom kavitet,1107
HAE20,Nännin korjaus kielekellä/siirteellä,Nännin korjaus kielekettä tai siirrettä käyttäen,Rekonstruktion av mamill med transplantat eller lambå,1104
KE1BE,"ProstataUÄ,transrectal",Eturauhasen ultraäänitutkimus peräsuolen kautta,"Prostata, transrektal UL",1103
XX6KT,Skleroterapia,Muu skleroterapia radiologisessa ohjauksessa,Annan skleroterapi,1102
ZXA05,Vasen puoli,Vasen puoli,Vänster sida,1099
RS390,,,,1097
H0722,,,,1095
GD1BA,Thorax l.rtg,Thoraxin laaja röntgen,"Lungor, omfattande röntgen",1091
XG474,Uloshengityksen typpioksidianalyysi,Uloshengityksen typpioksidianalyysi,NO analys av utandning,1090
PJ5AN,Vartijaimusolmukkeen paikannus ga,Vartijaimusolmukkeen paikantaminen gammakuvauksella,Sentinell lymfnod lokalisering med isotopundersökning,1086
PJ3AT,"Imusolm.solunäyte,UÄ",Imusolmukkeen solunäytteen otto UÄ-ohjauksessa,"Lymfknuta, UL-styrd finnålsbiopsi",1083
YA1AD,"Pää+kaula,annos-TT",Pään ja kaulan annossuunnittelu-TT,Huvud- och halsregionens DT för dosplanering,1083
F972,,,,1083
NC2AA,Kyynärvarren rtg,Kyynärvarren röntgen,"Underarm, röntgen",1079
EP1CG,Kaulan l.VKMT,Kaulan laaja magneettitutkimus,"Halsens mjukdelar, omfattande MR",1071
CKD65,"Lasiaispoisto, pars plana/pars plicata",Lasiaisen poisto pars planan/pars plicatan kautta,Vitrektomi genom pars plana eller pars plicata,1070
H0650,,,,1070
GAB10,Torakotomia edestä/takaa kyljestä,Rintaontelon aukaisu edestä tai takaa kyljestä,"Torakotomi , antero- eller posterolateral",1065
QXE10,Iho/subcutis muutos poist ei-määr alue,"Ihon tai ihonalaiskudoksen paikallisen muutoksen poisto koko ihon paksuudelta, paikkaa ei määritelty","Excision av kutan/subkutan förändring från all skikter av hud, ospesificerad region",1065
UDQ22,Kurkunpään tutkimus mikroskoopilla,Kurkunpään tutkimus mikroskoopilla,Laryngomikroskopi,1058
CBA10,Koepalan otto silmäluomesta,Koepalan otto silmäluomesta,Biopsi av ögonlock,1056
XKD06,"Virtsaamistutkimus (paine, virtaus)","Virtsaamistutkimus (paine, virtaus)","Miktionsfysiologisk undersökning (tryck, flöde)",1043
ZXA00,Oikea puoli,Oikea puoli,Höger sida,1041
TQW99,Muu ihon pientoimenpide,Muu ihon pientoimenpide,Annan mindre operation på hud eller subkutan vävnad,1035
H5009,,,,1034
H0043,,,,1032
XQ800,Prick-testi,Prick-testi,Prick-test,1031
EBA10,Hampaan poisto leikkaamalla,Hampaan poistoleikkaus,Operativ extraktion av tand,1030
H0625,,,,1030
ZY020,"Puhelu, kirje tai konsultaatio","Puhelu, kirje tai konsultaatio","Telefonkontakt, brev eller konsultaion",1030
WE300,Profylaktinen hoito biovasteenmuuntajill,Profylaktinen hoito biovasteenmuuntajilla,Profylaktisk behandling med biomodifierande medel,1026
WD225,Laaj lev kasv vaat horm.hoito,Laajalle levinneen kasvaimen vaativa hormonihoito,Krävande hormonbehandling av vitt spridd tumör,1023
