ICD9,n_codes,freq_finngen_per,Finnish_name,possible_english_name
8500A,298,0.07455%,"COMMOTIO CEREBRI,EI TIETOA TAJUTTOMUUDESTA",Concussion with no loss of consciousness
2411A,293,0.07330%,STRUMA ATOXICA MULTINODULARIS,Nontoxic multinodular goiter
6201A,292,0.07305%,CYSTA OVARII CORPORIS LUTEI,Corpus luteum cyst or hematoma
0340A,291,0.07280%,"TONSILLITIS STREPTOCOCCICA,STREPTOC BETAHAEMOLYT-A",Streptococcal sore throat
8024A,291,0.07280%,FRACTURA MAXILLAE ET ARCUS ZYGOMATICI,Closed fracture of malar and maxillary bones
6522A,290,0.07255%,"PRAESENTATIO CLUNIUM,RASKAUDEN AIKANA",Breech presentation without mention of version
7183A,290,0.07255%,"LUXATIO HABITUALIS, OLKANIVEL",Recurrent dislocation of joint
5509X,289,0.07230%,"HERNIA INGUINALIS SINE GANGR/OBSTR,ALIA SEU NUD","Inguinal hernia, without mention of obstruction or gangrene"
5410X,288,0.07205%,APPENDICITIS NUD,"Appendicitis, unqualified"
4553A,287,0.07180%,HAEMORRHOIDES EXTERNI NON COMPLICATAE,External hemorrhoids without mention of complication
6117B,287,0.07180%,TUMOR MAMMAE,Signs and symptoms in breast
3049X,286,0.07155%,MUU LÄÄKE- JA PÄIHDERIIPPUVUUS,Unspecified drug dependence
3610A,286,0.07155%,ABLATIO (AMOTIO) RHEGMATOGENEA,Retinal detachment with retinal defect
4151A,286,0.07155%,EMBOLIA SEU INFARCTUS PULMONUM,Pulmonary embolism and infarction
5920A,285,0.07130%,NEPHROLITHIASIS,Calculus of kidney
8134A,283,0.07080%,"FRACTURA RADII TYPICA COLLES,NON COMPLICATA","Fracture of lower end of radius and ulna, closed"
4110X,281,0.07030%,"EPÄSTABIILI ANGINA PECTORIS,MÄÄRITTELEMÄT",Postmyocardial infarction syndrome
2392A,278,0.06955%,"NEOPLASMA NON DEF OSSIUM, TELAE MOLLIS ET CUTIS","Neoplasm of unspecified nature of bone, soft tissue, and skin"
6528B,278,0.06955%,"MUUT VIRHEASENNOT JA -TARJONNAT, SYNNYTYKSEN AIKANA",Other specified malposition or malpresentation of fetus
5531A,276,0.06905%,HERNIA PARAUMBIILICALIS SINE OBSTRUCTIONE ET GANGR,Umbilical hernia without mention of obstruction or gangrene
7178C,274,0.06855%,LAESIO LIGAMENTI CRUCIATI,Other internal derangement of knee
8100A,273,0.06830%,FRACTURA CLAVICULAE NON COMPLICATA,Closed fracture of clavicle
7233A,272,0.06805%,SYNDROMA CERVICOBRACHIALE DIFFUSUM,Cervicobrachial syndrome (diffuse)
0786A,271,0.06780%,NEPHROPATHIA EPIDEMICA,Hemorrhagic nephrosonephritis
8450C,271,0.06780%,"DISTORSIO,DISTENSIO SEU RUPTURA TENDINIS ACHILLIS",Ankle sprain
2500X,270,0.06755%,"DIABETES MELLITUS SINE COMPLICATIONE ,NUD",Diabetes mellitus without mention of complication
5608A,270,0.06755%,"OBSTRUCTIO INTESTINALIS ,ADHESIONES INTRAABDOMINALE",Other specified intestinal obstruction
7352A,270,0.06755%,HALLUX RIGIDUS ACQUISITUS,Hallux rigidus
8361A,270,0.06755%,RUPTURA MENISCI LATERALIS,"Tear of lateral cartilage or meniscus of knee, current"
3821A,268,0.06705%,OTITIS MEDIA SUPPURATIVA CHRONICA,Chronic tubotympanic suppurative otitis media
8210A,266,0.06655%,"FRACTURA DIAPHYSEOS FEMORIS,NON COMPLICATA","Fracture of shaft or unspecified part of femur, closed"
1930A,264,0.06605%,CARCINOMA PAPILLARE THYREOIDEAE,Malignant neoplasm of thyroid gland
4620A,264,0.06605%,PHARYNGITIS ACUTA,Acute pharyngitis
3016A,263,0.06580%,RIIPPUVAINEN PERSOONALLISUUS,Dependent personality disorder
4741D,263,0.06580%,HYPERTROPHIA TONSILLAE PALATINAE ET PHARYNGICAE,Hypertrophy of tonsils and adenoids
5770A,263,0.06580%,PANCREATITIS ACUTA NONALCOHOLICA NONHAEMORRHAGICA,Acute pancreatitis
6565A,263,0.06580%,"SIKIÖN HIDASTUNUT INTRAUTERIININ KASVU,RASK AIK",Poor fetal growth affecting management of mother
5119X,261,0.06530%,PLEURITIS NUD,Unspecified pleural effusion
7879X,260,0.06505%,SYMPTMOATA ORGANORUM DIGESTIONIS ALIA DEFINITA,Other symptoms involving digestive system
6430A,259,0.06480%,HYPEREMESIS GRAVIDARUM SINE DISTURBATIONE METABOL,Mild hyperemesis gravidarum
2961A,257,0.06430%,"VAKAVA MASENNUSTILA,TARKEMMIN MÄÄRITTELEMÄTÖN","Manic disorder, recurrent episode"
6030A,257,0.06430%,HYDROCELE SINE INFECTIONE,Encysted hydrocele
3153A,254,0.06355%,KIELENKEHITYKSEN ERITYISVAIKEUS,Developmental speech or language disorder
7244A,254,0.06355%,SYNDROMA RADICULARE THORACALIS SEU LUMBOSACRALIS,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
7807A,251,0.06280%,EXHAUSTIO,Malaise and fatigue
5640A,249,0.06229%,CONSTIPATIO,Constipation
2393A,248,0.06204%,NEOPLASMA NON DEF MAMMAE,Neoplasm of unspecified nature of breast
7847A,248,0.06204%,EPISTAXIS,Epistaxis
6533B,247,0.06179%,"PELVIS ANGUSTA, ANOM APERT INFER,SYNNYTYKSEN AIKANA","Outlet contraction of pelvis in pregnancy, labor, and delivery"
V628A,247,0.06179%,HEIKKOLAHJAISUUS,"Other psychological or physical stress, not elsewhere classified"
5401A,246,0.06154%,APPENDICITIS ACUTA CUM ABSCESSU PERITONEALI,Acute appendicitis with peritoneal abscess
5790A,246,0.06154%,COELIACIA,Celiac disease
5937A,246,0.06154%,REFLUXUS VESICOURETERALIS,Vesicoureteral reflux
6620B,244,0.06104%,PARTUS PROLONGATUS STADII I,Prolonged first stage of labor
4912B,241,0.06029%,BRONCHITIS OBSTRUCTIVA CUM EMPHYSEMATE,Obstructive chronic bronchitis
6111A,241,0.06029%,HYPERTROPHIA MAMMAE,Hypertrophy of breast
6213B,241,0.06029%,HYPERPLASIA ENDOMETRII CYSTICA GLANDULARIS,Endometrial hyperplasia
6101A,239,0.05979%,MASTOPATHIA CHRONICA CYSTICA,Diffuse cystic mastopathy
5400B,238,0.05954%,APPENDICITIS ACUTA CUM PERITONITIDE CIRCUMSCRIPTA,Acute appendicitis with generalized peritonitis
6542A,238,0.05954%,"CICATRIX UTERI POSTOPERATIVA, RASKAUDEN AIKANA",Previous cesarean section complicating pregnancy or childbirth
3460A,237,0.05929%,KLASSINEN MIGREENI,Migraine with aura
4658X,236,0.05904%,INFECTIO RESPIRATORIA SUPERIORIS ACUTA ALIA DEF,Acute upper respiratory infections of other multiple sites
8124A,234,0.05854%,FRACTURA HUMERI PARTIS INFERIORIS NON COMPLICATA,"Fracture of lower end of humerus, closed"
4559X,232,0.05804%,HAEMORRHOIDES NUD,Residual hemorrhoidal skin tags
8020A,232,0.05804%,FRACTURA NASI,Closed fracture of nasal bones
6282A,231,0.05779%,STERIL ET INFERT EX ORIG TUBAE UTERINAE PRIM,"Infertility, female, of tubal origin"
6929B,231,0.05779%,ECZEMA INFECTIOSUM,"Contact dermatitis and other eczema, unspecified cause"
4254A,230,0.05754%,CARDIOMYOPATHIA CONGESTIVA,Other primary cardiomyopathies
2507A,229,0.05729%,"DIABETES MELLITUS CUM COMPLICAT ALIA ,TYYPPI II",Diabetes with peripheral circulatory disorders
3092E,229,0.05729%,USEINA EMOTIONAALISINA OIREINA ILM.SOPEUTUMISHÄIRIÖ,Adjustment reaction with predominant disturbance of other emotions
6670A,228,0.05704%,RETENTIO PLACENTAE TOTALIS,Retained placenta without hemorrhage
6671A,228,0.05704%,RETENTIO PLACENTAE PARTIALIS,"Retained portions of placenta or membranes, without hemorrhage"
7143D,227,0.05679%,OLIGARTHRITIS JUVENILIS,Juvenile chronic polyarthritis
3094A,226,0.05654%,EMOTION.OIREINA/KÄYTÖSHÄIRIÖNÄ ILM.SOPEUTUMISHÄIRIÖ,Adjustment disorder with mixed disturbance of emotions and conduct
4300A,226,0.05654%,HAEMORRHAGIA SUBARACHNOID. POST ANEURYSMA SACCULARE,Subarachnoid hemorrhage
5651A,226,0.05654%,FISTULA ANI,Anal fistula
7274X,226,0.05654%,GANGLION ALIUD LOCO DEFINITO,"Ganglion and cyst of synovium, tendon, and bursa"
3454B,224,0.05604%,TEMPORAALIEPILEPTINEN POISSAOLOKOHTAUS,Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures
6660C,224,0.05604%,HAEMORRHAGIA POST PARTUM CUM RETENT PLAC PARTIALI,Third-stage postpartum hemorrhage
7227A,224,0.05604%,KAULANIKAMAN VÄLILEVYTYRÄ JUURIOIREINEEN,Intervertebral disc disorder with myelopathy
1820A,223,0.05579%,CARCINOMA ENDOMETRII,"Malignant neoplasm of corpus uteri, except isthmus"
3842A,222,0.05554%,PERFORATIO MEMBRANAE TYMPANI,Perforation of tympanic membrane
6598B,218,0.05454%,"INDICATIONES INTERVENTIONUM ALIAE ,SYNNYTYKSEN AIKA",Other specified indications for care or intervention related to labor and delivery
6661A,218,0.05454%,HAEMORRHAGIA POST PARTUM ATONICA UTERI,Other immediate postpartum hemorrhage
7152F,217,0.05429%,"OSTEORTHROSIS SECUNDARIA,POLVI","Osteoarthrosis, localized, secondary"
3000B,216,0.05404%,PANIIKKIHÄIRIÖ,Anxiety states
4289X,216,0.05404%,INSUFFICIENTIA CORDIS,"Heart failure, unspecified"
5355X,216,0.05404%,GASTRITIS NUD,Unspecified gastritis and gastroduodenitis
5910A,216,0.05404%,HYDRONEPHROSIS,Hydronephrosis
7270X,216,0.05404%,TENOSYNOVITIS ALIA LOCO DEFINITO,Synovitis and tenosynovitis
6929X,214,0.05354%,DERMATITITIS ARTEFACTA NUD,"Contact dermatitis and other eczema, unspecified cause"
7327A,214,0.05354%,OSTEOCHONDRITIS DISSECANS GENUS,Osteochondritis dissecans
2800A,211,0.05279%,ANAEMIA SIDEROPENICA POSTHAEMORRHAGICA,Iron deficiency anemia secondary to blood loss (chronic)
4351A,211,0.05279%,ISCHAEMIA CEREBRALIS TRANSITORIA REGIONIS CAROTICAE,Vertebral artery syndrome
5781A,210,0.05254%,MELAENA,Blood in stool
6419A,210,0.05254%,"HAEMORRHAGIA NUD IN GRAVIDITATE,HOITOJ ENN SYNN NUD",Unspecified antepartum hemorrhage
7931A,210,0.05254%,KEUHKOJEN EPÄSPESIFISET POIKKEAVAT SÄDEDIAGN LÖYD,Nonspecific abnormal findings on radiological and other examination of lung field
2000B,209,0.05229%,LYMPHOMA MALIGNUM DIFFUSUM,Reticulosarcoma
3650A,209,0.05229%,SUSPICIO GLAUCOMATIS (AVOKULMA),Borderline glaucoma [glaucoma suspect]
2419X,207,0.05179%,STRUMA NODOSA ATOXICA NUD,Unspecified nontoxic nodular goiter
4781C,207,0.05179%,CYSTA SINUS MAXILLARIS,Other diseases of nasal cavity and sinuses
9800A,207,0.05179%,MYRKYTYS:ETYYLIALKOHOLI,Toxic effect of ethyl alcohol
2918A,206,0.05154%,ALKOHOLIN VIEROITUSOIREET,Other specified alcohol-induced mental disorders
8832A,205,0.05129%,"VULNUS DIGITI MANUS CUM LAESIONE TENDINIS,NON COMPL","Open wound of finger(s), with tendon involvement"
3793C,204,0.05104%,PSEUDOPHAKIA,Aphakia and other disorders of lens
2962E,203,0.05079%,"PSYCH.BIPOLARIS MANICA,VAIKEA-ASTE,PSYKOOT PIIRTEIT","Major depressive disorder, single episode"
5818X,203,0.05079%,SYNDROMA NEPHROTICUM ALIA DEFINITA,Nephrotic syndrome with other specified pathological lesion in kidney
6535B,203,0.05079%,"EPÄTAVALLISEN ISO SIKIÖ (YLI 4500 G), SYNN AIKANA",Unusually large fetus causing disproportion
9241A,203,0.05079%,CONTUSIO GENUS ET CRURIS,Contusion of knee and lower leg
3092D,202,0.05054%,AHDISTUNEISUUTENA ILMENEVÄ SOPEUTUMISHÄIRIÖ,Adjustment reaction with predominant disturbance of other emotions
6660B,201,0.05029%,HAEMORRHAGIA POST PARTUM CUM RETENT PLAC TOTALI,Third-stage postpartum hemorrhage
7809X,201,0.05029%,SYMPTOMATA GENERALIA ALIA,Other general symptoms
5530A,199,0.04979%,HERNIA FEMORALIS SINE OBSTRUCTIONE ET GANGRAENA,Femoral hernia without mention of obstruction or gangrene
8022A,199,0.04979%,FRACTURA MANDIBULAE,Mandible closed fracture
4829X,198,0.04954%,PNEUMONIA BACTERICA NUD,"Bacterial pneumonia, unspecified"
8470A,197,0.04929%,"DISTORSIO,DISTENSIO SEU RUPTURA NUCHAE",Sprain of neck
8730A,197,0.04929%,VULNUS CUTIS CAPITIS NON COMPLICATUM,"Open wound of scalp, without mention of complication"
5350A,194,0.04853%,GASTRITIS ACUTA ET SUPERFICIALIS,Acute gastritis
4618A,193,0.04828%,PANSINUITIS ACUTA,Other acute sinusitis
5120A,193,0.04828%,PNEUMOTHORAX SPONTANEUS,Spontaneous tension pneumothorax
8310B,193,0.04828%,"LUXATIO SCAPULAE TRAUM ACROMIOCLAVICULARIS,NON COMP",Closed dislocation of shoulder
3041A,192,0.04803%,"ANKSIOLYYTTI-,SEDATIIVA- JA UNILÄÄKERIIPPUVUUS","Sedative, hypnotic or anxiolytic dependence"
7531A,192,0.04803%,MORBUS CYSTICUS CONGENITUS RENIS,Cystic kidney disease
7860C,190,0.04753%,SYNDROMA HYPERVENTILATIONIS,Dyspnea and respiratory abnormalities
8120A,190,0.04753%,FRACTURA HUMERI PARTIS SUPERIORIS NON COMPLICATA,"Fracture of upper end of humerus, closed"
9200A,190,0.04753%,"CONTUSIO FACIEI, VERTICIS ET COLLI, OCULO EXCEPTO","Contusion of face, scalp, and neck except eye(s)"
4540A,189,0.04728%,ULCUS VARICOSUM CRURIS,Varicose veins of lower extremities with ulcer
7863A,189,0.04728%,HAEMOPTYSIS,Hemoptysis
8232A,189,0.04728%,"FRACTURA DIAPHYSEOS TIBIAE, NON COMPLICATA","Fracture of shaft of tibia and fibula, closed"
2390A,188,0.04703%,NEOPLASMA NON DEF ORGANORUM DIGESTIONIS,Neoplasm of unspecified nature of digestive system
5552A,188,0.04703%,MORBUS CROHN ILEI ET COLI,Regional enteritis of small intestine with large intestine
8500C,188,0.04703%,"COMMOTIO CEREBRI,ALLE TUNNIN KESTÄNYT TAJUTTOMUUS",Concussion with no loss of consciousness
1850A,187,0.04678%,NEOPLASMA MALIGNUM PROSTATAE,Malignant neoplasm of prostate
5660A,186,0.04653%,ABSCESSUS ANI ET ANORECTALIS,Abscess of anal and rectal regions
8220A,186,0.04653%,FRACTURA PATELLAE NON COMPLICATA,Closed fracture of patella
9221A,185,0.04628%,CONTUSIO THORACIS,Contusion of chest wall
7288A,184,0.04603%,"SYNDR TIBIALE, PENIKKATAUTI","Other disorders of muscle, ligament, and fascia"
5609X,183,0.04578%,"OBSTRUCTIO INTESTINALIS,NUD",Unspecified intestinal obstruction
7267A,183,0.04578%,TENDINITIS SEU BURSITIS ACHILLIS,Enthesopathy of ankle and tarsus
3000C,182,0.04553%,YLEISTYNYT TUSKAISUUS,Anxiety states
3853A,182,0.04553%,CHOLESTEATOMA AURIS MEDIAE,Cholesteatoma of middle ear and mastoid
6424B,182,0.04553%,"PRAE-ECLAMPSIA  LEVIS, SYNNYTYKSEN AIKANA",Mild or unspecified pre-eclampsia
8200A,182,0.04553%,"FRACTURA COLLI FEMORIS TRANSCERVICALIS,NON COMPLICA","Transcervical fracture, closed"
4940A,181,0.04528%,BRONCHIECTASIAE,Bronchiectasis without acute exacerbation
5532A,181,0.04528%,HERNIA VENTRALIS SINE OBSTRUCTIONE ET GANGRAENA,Ventral hernia without mention of obstruction or gangrene
5828A,181,0.04528%,"GLOMERULONEPHRITIS CHRONICA ALIA DEF,EI NEFR SDR",Chronic glomerulonephritis with other specified pathological lesion in kidney
6150A,181,0.04528%,"ENDOMETRITIS, ENDOMYOMETRITIS ET PERIMETRITIS ACUTA","Acute inflammatory diseases of uterus, except cervix"
7080A,181,0.04528%,URTICARIA ACUTA ALLERGICA,Allergic urticaria
2809X,180,0.04503%,ANAEMIA SIDEROPENICA NUD,"Iron deficiency anemia, unspecified"
2961B,180,0.04503%,"VAKAVA MASENNUSTILA,LIEVÄASTEINEN","Manic disorder, recurrent episode"
2505A,179,0.04478%,"NEUROPATHIA DIABETICA,TYYPPI II",Diabetes with ophthalmic manifestations
3542A,179,0.04478%,LAESIO NERVI ULNARIS,Lesion of ulnar nerve
2910A,178,0.04453%,ALKOHOLIDELIRIUM,Alcohol withdrawal delirium
2967A,178,0.04453%,PSYCHOSIS BIPOLARIS NUD,"Bipolar I disorder, most recent episode (or current) unspecified"
6489X,177,0.04428%,MUU RASKAUSKOMPLIKAATIO,"Other current conditions complicating pregnancy, childbirth, or the puerperium"
2449X,176,0.04403%,HYPOTHYREOSIS AQCUISATA NUD,Unspecified acquired hypothyroidism
3071A,176,0.04403%,ANOREXIA NERVOSA,Anorexia nervosa
5641A,176,0.04403%,COLON IRRITABILE,Irritable bowel syndrome
2280A,175,0.04378%,HAEMANGIOMA,"Hemangioma, any site"
3430A,175,0.04378%,"CP-OIREYHTYMÄ,DIPLEGIA SPASTICA",Congenital diplegia
4611A,175,0.04378%,SINUITIS FRONTALIS ACUTA,Acute frontal sinusitis
9070A,175,0.04378%,"SEQUELAE LAESIONUM INTRACRANIALIUM,FR CRANII EXCEPT",Late effect of intracranial injury without mention of skull fracture
7651B,174,0.04353%,ENNENAIK SYNT SYNTYMÄP 1500-2499G/RASK KESTO 31-37H,Other preterm infants
6425A,173,0.04328%,"PRAE-ECLAMPSIA GRAVIS, ENNEN SYNNYTYSTÄ",Severe pre-eclampsia
7261A,173,0.04328%,TENDINITIS CALCIFICANS HUMEROSCAPULARIS,Rotator cuff syndrome of shoulder and allied disorders
7199F,172,0.04303%,"MB ARTICULI NUD,POLVI",Unspecified disorder of joint
2953A,170,0.04253%,"PARANOIDISTYYPPINEN SKITSOFRENIA,TARKEMMIN MÄÄRITTE",Paranoid type schizophrenia
7148X,170,0.04253%,ARTHRITIS RHEUMATOIDES ALIA,Other specified inflammatory polyarthropathies
7373A,170,0.04253%,KYPHOSCOLIOSIS ET SCOLIOSIS ACQUISITA,Kyphoscoliosis and scoliosis
7525A,170,0.04253%,RETENTIO TESTIS (CRYPTORCHISMUS),Undescended and retractile testicle
6182A,169,0.04228%,PROLAPSUS UTEROVAGINALIS INCOMPLETUS,"Uterovaginal prolapse, incomplete"
V500A,169,0.04228%,TERVEELLE HENKILÖLLE SUORITETTU LEIKKAUS,Elective hair transplant for purposes other than remedying health states
0388X,168,0.04203%,SEPTICHAEMIA ALIA,Other specified septicemias
4784A,168,0.04203%,POLYPUS PLICAE VOCALIS,Polyp of vocal cord or larynx
0499X,167,0.04178%,VIROSIS NUD SYSTEMATIS NERVORUM CENTRALIS,Unspecified non-arthropod-borne viral diseases of central nervous system
2962C,167,0.04178%,"PSYCHOSIS BIPOLARIS MANICA,KESKIVAIKEA","Major depressive disorder, single episode"
3620B,167,0.04178%,RETINOPATHIA DIABETICA PROLIFERATIVA,Diabetic retinopathy
5645A,167,0.04178%,DIARRHOEA FUNCTIONALIS,Functional diarrhea
7249X,167,0.04178%,SELÄN SAIRAUDET NUD,Other unspecified back disorders
2410A,165,0.04128%,STRUMA ATOXICA UNINODULARIS,Nontoxic uninodular goiter
V200A,165,0.04128%,LAPSEN TERVEYDENTILAN SEURANTA,Health supervision of foundling
0750X,164,0.04103%,MONONUCLEOSIS INFECTIOSA SINE COMPLICATIONE,Infectious mononucleosis
0799X,163,0.04078%,INFECTIO VIROSA NUD,Unspecified viral and chlamydial infection in conditions classified elsewhere and of unspecified site
3861A,163,0.04078%,NEURONITIS VESTIBULARIS,Other and unspecified peripheral vertigo
2956E,162,0.04053%,"RESIDUAALINEN SKITSOFRENIA,KROONINEN AKUUTTI VAIHE",Residual type schizophrenic disorders
4278X,162,0.04053%,DYSRHYTMIAE CORDIS ALIA DEFINITA,Other specified cardiac dysrhythmias
4565A,162,0.04053%,VARICES VENARUM PELVIS,Pelvic varices
3663A,161,0.04028%,CATARACTA COMPLICATA,Cataract secondary to ocular disorders
7543A,161,0.04028%,LUXATIO COXAE CONGENITA,Congenital dislocation of hip
3009X,160,0.04003%,NEUROSIS NUD,Unspecified nonpsychotic mental disorder
3891A,160,0.04003%,HYPACUSIS SENSORINEURALIS,Sensorineural hearing loss
4538X,160,0.04003%,EMBOLIA ET THROMBOSIS VENARUM ALIA DEFINITA,Acute venous embolism and thrombosis of other specified veins
5770F,160,0.04003%,PANCREATITIS ACUTA ALCOHOLICA RECIDIVANS,Acute pancreatitis
5990C,160,0.04003%,INFECTIO VIARUM URINARIUM RECIDIVANS,"Urinary tract infection, site not specified"
6268X,160,0.04003%,MENSTRUATIO ABNORMA ALIA DEFINITA,Other disorders of menstruation and other abnormal bleeding from female genital tract
9056A,160,0.04003%,SEQUELAE LUXATIONIS,Late effect of dislocation
6162A,159,0.03978%,CYSTA GLANDULAE BARTHOLINI,Cyst of Bartholin's gland
5400A,158,0.03953%,APPENDICITIS ACUTA CUM PERITONITIDE DIFFUSA,Acute appendicitis with generalized peritonitis
7214A,158,0.03953%,SPONDYLARTHROSIS LUMBOSACRALIS CUM MYELOPATHIA,Thoracic or lumbar spondylosis with myelopathy
2505B,157,0.03928%,"NEUROPATHIA DIABETICA,TYYPPI I",Diabetes with ophthalmic manifestations
5900A,157,0.03928%,PYELONEPHRITIS CHRONICA,Chronic pyelonephritis
2713A,156,0.03903%,MALABSORPTIO LACTOSI,Intestinal disaccharidase deficiencies and disaccharide malabsorption
3320A,156,0.03903%,MORBUS PARKINSON,Paralysis agitans
3461A,155,0.03878%,"EI-KLASSINEN MIGREENI (""COMMON MIGRAINE"")",Migraine without aura
6531A,155,0.03878%,"PELVIS ANGUSTA,RASKAUDEN AIKANA","Generally contracted pelvis in pregnancy, labor, and delivery"
9351A,155,0.03878%,CORPUS ALIENUM OESOPHAGI,Foreign body in esophagus
3017A,154,0.03853%,ASOSIAALINEN PERSOONALLISUUS,Antisocial personality disorder
3170B,154,0.03853%,"LIEVÄ ÄLYLL.KEHITYSVAMMAISUUS,JOSSA KÄYTÄYTYM.HÄIRI",Mild intellectual disabilities
6288A,152,0.03803%,STERILITAS ET INFERTILITAS MULIERIS ALIA PRIM,"Infertility, female, of other specified origin"
6850A,152,0.03803%,CYSTA DERMOIDES CUM INFECTIONE ACUTA,Pilonidal cyst with abscess
1742A,151,0.03778%,"RINTASYÖPÄ,YLÄKESKINELJÄNNES",Malignant neoplasm of upper-inner quadrant of female breast
3478X,151,0.03778%,MUUT ORGANISET UNIHÄIRIÖT,Cataplexy and narcolepsy
3743B,151,0.03778%,BLEPHAROCHALASIS ET DERMATOCHALASIS,Ptosis of eyelid
4109X,151,0.03778%,"INFARCTUS MYOCARDII ACUTUS SUSPECTUS,MÄÄRITTELEMÄT","Acute myocardial infarction, unspecified site"
7287A,151,0.03778%,CONTRACTURA FASCIAE PLANTARIS,"Other fibromatoses of muscle, ligament, and fascia"
3782B,149,0.03728%,STRABISMUS DIVERGENS INTERMITTENS,Intermittent heterotropia
4110B,149,0.03728%,"EPÄSTABIILI ANGINA PECTORIS,AHTAUTUNUT",Postmyocardial infarction syndrome
7384A,149,0.03728%,SPONDYLOLISTHESIS ACQUISATA,Acquired spondylolisthesis
9964A,148,0.03703%,"ORTOPEDISEN LAITTEEN, IMPLANT TAI SIIRR MEK KOMPLIK","Mechanical complication of internal orthopedic device, implant, and graft"
4241A,147,0.03678%,INSUFFICIENTIA VALVULAE AORTAE (NON RHEUMATICA),Aortic valve disorders
4732A,147,0.03678%,SINUITIS ETHMOIDALIS CHRONICA,Chronic ethmoidal sinusitis
7270B,147,0.03678%,TENOSYNOVITIS CARPI ET ANTEBRACHII,Synovitis and tenosynovitis
2873A,146,0.03653%,PURPURA THROMBOCYTOPENICA IDIOPATHICA (ITP),Primary thrombocytopenia
3170A,146,0.03653%,"LIEVÄ ÄLYLL.KEHITYSVAMMAISUUS,EI KÄYTÄYTYM.HÄIRIÖTÄ",Mild intellectual disabilities
3651B,146,0.03653%,GLAUCOMA CAPSULARE (AVOKULMA),Open-angle glaucoma
4267A,146,0.03653%,SYNDROMA WOLFF-PARKINSON-WHITE,Anomalous atrioventricular excitation
4939B,146,0.03653%,ASTHMA ALIA DEFINITA CUM EXACERBATIONE,"Asthma, unspecified"
5950A,146,0.03653%,CYSTITIS ACUTA,Acute cystitis
6208X,146,0.03653%,"MORBI NONINFECT OVARII, TUBAE OVARII ET LIG LATI AL","Other noninflammatory disorders of ovary, fallopian tube, and broad ligament"
3141A,145,0.03628%,MBD-OIREYHTYMÄ,Hyperkinesis with developmental delay
4240B,145,0.03628%,PROLAPSUS VALVULAE MITRALIS (SYNDROMA BARLOW),Mitral valve disorders
5819X,145,0.03628%,SYNDROMA NEPHROTICUM NUD,Nephrotic syndrome with unspecified pathological lesion in kidney
5829A,145,0.03628%,"GLOMERULONEPHRITIS CHRONICA NUD ,EI NEFR SDR",Chronic glomerulonephritis with unspecified pathological lesion in kidney
7151D,145,0.03628%,"OSTEOARTHROSIS PRIMARIA, KÄSI","Osteoarthrosis, localized, primary"
8130A,145,0.03628%,FRACTURA OLECRANI NON COMPLICATA,"Fracture of upper end of radius and ulna, closed"
9223A,145,0.03628%,CONTUSIO DORSI,Contusion of back
0350A,144,0.03603%,ERYSIPELAS STREPTOCOCCICA,Erysipelas
4278A,143,0.03578%,SICK SINUS-SYNDROMA,Other specified cardiac dysrhythmias
