ICD9	ICD9LYH	ICD9TXT
0361B	ENKEF,MENINGOK+ABSCE	ENCEPHALITIS MENINGOCOCCICA CUM ABSCESSU
0362A	MENINGOCOCCHAEMIA	MENINGOCOCCHAEMIA
0363A	SYNDR WATERHOUSE-FRI	SYNDROMA WATERHOUSE-FRIEDRICHSEN
0364A	CARDITIS MENINGOCOC	CARDITIS MENINGOCOCCICA
0368A	ARTHRITIS MENINGOCOC	ARTHRITIS MENINGOCOCCICA
0368X	INFECT MENINGOCOC AL	INFECTIO MENINGOCOCCICA ALIA
0369X	INFECT MENINGOCO NUD	INFECTIO MENINGOCOCCICA
037	TETANUS	TETANUS
0370A	TETANUS	TETANUS
038	SEPTICHAEMIA	SEPTICHAEMIA
0380A	SEPSIS,STREPT B-HAEM	SEPTICHAEMIA STREPTOCOCCUC BETAHAEMOLYTICUS
0380B	SEPSIS,STREPT VIRIDA	SEPTICHAEMIA STREPTOCOCCUS VIRIDANS
0380C	SEPSIS,ENTEROCOCCUS	SEPTICHAEMIA ENTEROCOCCUS
0380X	SEPSIS,STREPTOC ALIA	SEPTICHAEMIA STREPTOCOCCUS ALIA
0381A	SEPSIS,STAFYL AUREUS	SEPTICHAEMIA STAPHYLOCOCCUS AUREUS
0381B	SEPSIS,STAFYL EPIDER	SEPTICHAEMIA STAPHYLOCOCCUS EPIDERMIDIS
0382A	SEPSIS,PNEUMOCOCCUS	SEPTICHAEMIA PNEUMOCOCCUS
0383A	SEPSIS, ANAEROBICA	SEPTICHAEMIA ANAEROBICA
0384A	SEPSIS,HEMOFIL INFLU	SEPTICHAEMIA HAEMOPHILUS INFLUENZAE
0384B	SEPSIS,E. COLI	SEPTICHAEMIA E. COLI
0384C	SEPSIS,PSEUDOMONAS	SEPTICHAEMIA PSEUDOMONAS
0384X	SEPSIS,BACT AL GRAM-	SEPTICHAEMIA BACTERICA GRAM NEGATIVA ALIA
0388X	SEPSIS,ALIA DEFINITA	SEPTICHAEMIA ALIA
039	ACTINOMYCOSES	ACTINOMYCOSES
0390A	ACTINIMYCOSIS CUTANE	ACTINOMYCOSIS CUTANEA
0391A	ACTINIMYCOS PULMONUM	ACTINOMYCOSIS PULMONUM
0392A	ACTINIMYC ABDOMINALI	ACTINOMYCOSIS ABDOMINALIS
0393A	ACTINIMYC CERVICOFAC	ACTINOMYCOSIS CERVICOFACIALIS
0394A	PES MADURAE	PES MADURAE
0398X	ACTINOMYCOSIS ALIA	ACTINOMYCOSIS ALIA
0399X	ACTINOMYCOSIS NUD	ACTINOMYCOSIS NUD
040	BACTERIOSES ALIAE	BACTERIOSES ALIAE
0400A	GANGRAENA EMPHYSEMAT	GANGRAENA EMPHYSEMATOSA
0401A	RHINOSCLEROMA	RHINOSCLEROMA
0402A	MORBUS WHIPPLE	MORBUS WHIPPLE
0403A	NECROBACILLOSIS	NECROBACILLOSIS
0408X	BACTERIOSIS ALIA DEF	BACTERIOSIS ALIA DEFINITA
041	INFEC BACT ALTER GEN	INFECTIO BACTERICA ALTERIUS GENERIS
0410A	INFECT STREPTOCOCCUS	INFECTIO STREPTOCOCCUS
0411A	INFEC STAPHYLOCOCCUS	INFECTIO STAPHYLOCOCCUS
0412A	INFECT PNEUMOCOCCUS	INFECTIO PNEUMOCOCCUS
0413A	INFEC KLEBSIEL PNEUM	INFECTIO KLEBSIELLA
0414A	INFECTIO E. COLI	INFECTIO E. COLI
0415A	INFECT HEMOFIL INFLU	INFECTIO HAEMOPHILUS INFLUENZAE
0416A	INFECTIO PROTEUS	INFECTIO PROTEUS
0417A	INFECTIO PSEUDOMONAS	INFECTIO PSEUDOMONAS
0418X	INFECT BACT ALIA DEF	INFECTIO BACTERICA ALIA
0419X	INFECTIO BACTERI NUD	INFECTIO BACTERICA NUD
045	POLIOMYELITIS ACUTA	POLIOMYELITIS ACUTA
0450A	POLIO+PARALYS BULB-I	POLIOMYELITIS ACUTA CUM PARALYSI BULBARI,TYPUS I
0450B	POLIO+PARALY BULB-II	POLIOMYELITIS ACUTA CUM PARALYSI BULBARI,TYPUS II
0450C	POLIO+PARAL BULB-III	POLIOMYELITIS ACUTA CUM PARALYSI BULBARI,TYPUS III
0450X	POLIO+PARAL BULB NUD	POLIOMYELITIS ACUTA CUM PARALYSI BULBARI, NUD
0451A	POLIO+PARALYS ALIA-I	POLIOMYEL ACUTA CUM PARALYSI SPINALI/ALIA,TYPUS I
0451B	POLIO+PARALYS ALI-II	POLIOMYEL ACUTA CUM PARALYSI SPINALI/ALIA,TYPUS II
0451C	POLIO+PARALYS AL-III	POLIOMYEL ACUTA CUM PARALYSI SPINALI/ALIA,TYPUS III
0451X	POLIO+PARALYS AL/NUD	POLIOMYEL ACUTA CUM PARALYSI SPINALI/ALIA, NUD
0452A	POLIO SINE PARALYS-I	POLIOMYELITIS ACUTA SINE PARALYS,TYPUS I
0452B	POLIO SINE PARAL-II	POLIOMYELITIS ACUTA SINE PARALYS,TYPUS II
0452C	POLIO SINE PARAL-III	POLIOMYELITIS ACUTA SINE PARALYS,TYPUS III
0452X	POLIO SINE PARAL-NUD	POLIOMYELITIS ACUTA SINE PARALYS,NUD
0459A	POLIO ACUTA  NUD-I	POLIOMYELITIS ACUTA NUD,TYPUS I
0459B	POLIO ACUTA  NUD-II	POLIOMYELITIS ACUTA NUD,TYPUS II
0459C	POLIO ACUTA  NUD-III	POLIOMYELITIS ACUTA NUD,TYPUS III
0459X	POLIO ACUTA  NUD	POLIOMYELITIS ACUTA NUD,NUD
046	HITAAT CNS VIRUSINF	HITAAT KESKUSHERMOSTON VIRUSINFEKTIOT
0460A	KURU	KURU
0461A	MB JAKOB-CREUTZFELDT	MORBUS JAKOB-CREUTZFELDT
0462A	PANENKEFAL SCLE SUBA	PANENCEPHALITIS SCLEROSA SUBACUTA
0463A	LEUCOENKEFALOP PROGR	LEUCOENCEPHALOPATHIA MULTIFOCALIS PROGRESSIVA
0468A	MUU HIDAS CNS V.INFE	KESKUSHERMOSTON HIDAS VIRUSINFEKTIO MUU MÄÄRITELTY
0469X	HIDAS CNS V.INFE NUD	KESKUSHERMOSTON HIDAS VIRUSINFEKTIO NUD
047	MENINGITIS ENTEROVIR	MENINGITIS PER ENTEROVIRUS
0470A	MENINGITIS COXSACKIE	MENINGITIS COXSACKIE
0471A	MENINGITIS ECHO	MENINGITIS ECHO
0478X	MENINGIT ENTEROV ALI	MENINGITIS ENTEROVIROSA ALIA
0479X	MENINGIT ENTEROV NUD	MENINGITIS ENTEROSVIROSA
048	CNS ENTEROVIROSES AL	ENTEROVIROSES ALIAE SYSTEMATIS NERVORUM CENTRALIS
0480A	CNS ENTEROVIROSES AL	ENTEROVIROSES ALIAE SYSTEMATIS NERVORUM CENTRALIS
049	MUUT CNS VIRUSTAUDIT	VIROSES ALIAE SYSTEMATIS NERVORUM CENTRALIS
0490A	CHORIOMENING LYMFOCY	CHORIOMENINGITIS LYMPHOCYTICA
0491A	ADENOVIROSIS CNS	ADENOVIROSIS SYSTEMATIS NERVORUM CENTRALIS
0498X	VIROSIS ALIA CNS	VIROSIS ALIA SYSTEMATIS NERVORUM CENTRALIS
0499X	VIROSIS NUD CNS	VIROSIS NUD SYSTEMATIS NERVORUM CENTRALIS
050	ISOROKKO	ISOROKKO
0500A	VARIOLA	VARIOLA
051	LEHMÄROKKO	LEHMÄROKKO
0510A	LEHMÄROKKO	VARIOLA BOVIS SEU VACCINIA
052	VESIROKKO	VARICELLA
0520A	ENKEFAL POST VARICEL	ENCEPHALITIS POST VARICELLAM
0520B	VARICELLA+PNEUMONIT	VARICELLA CUM PNEUMONITIDE
0527A	VARICELLA+ALIA COMPL	VARICELLA CUM ALIAE COMPLICATIONE DEFINITA
0528X	VARICELLA ALIA DEFIN	VARICELLA ALIA DEFINITA
0529X	VARICELLA SINE COMPL	VARICELLA SINE COMPLICATIONE
053	HERPES ZOSTER	HERPES ZOSTER
0530A	HERPES ZOST+MENINGIT	HERPES ZOSTER CUM MENINGITIDE
0531A	MUU CNS HERPES ZOSTE	HERPES ZOSTER CUM MANIFESTAT. ALIA SYSTEMATIS NERV.
0532A	ZOSTER PALPEBR OCULI	HERPES ZOSTER PALPEBRAE OCULI
0532B	HERP ZOST+KERATOCONJ	HERPES ZOSTER KERATOCONJUNCTIVITIS
0532C	HERPES ZOST+IRIDOCYC	HERPES ZOSTER IRIDOCYCLITIS
0532X	ZOSTER+MUU SILMÄKOMP	HERPES ZOSTER CUM COMPLICATIONE OPHTALMICA ALIA
0537A	ZOSTER OTICUS	ZOSTER OTICUS
0537X	MUUN ELIMEN H.ZOSTER	HERPES ZOSTER CUM MANIFESTATIONE ORGANORUM ALIORUM
0538A	ZOSTER GENERALISATUS	HERPES ZOSTER GENERALISATUS
0538X	HERP ZOST+MUU KOMPL	HERPES ZOSTER ALIUS DEFINITUS
0539X	HERP ZOST SINE COMPL	HERPES ZOSTER SINE COMPLICATIONE
054	HERPES SIMPLEX	HERPES SIMPLEX
0540A	ECZEMA HERPETICUM	ECZEMA HERPETICUM
0541A	HERPES GENIT PRIMAR	HERPES GENITALIS PRIMARIUS
0541B	HERPES GENIT RECIDIV	HERPES GENITALIS RECIDIVANS
0542A	GINGIVOSTOMAT HERPET	GINGIVOSTOMATITIS HERPETICA
0542B	HERPES GASTROINTESTI	INFECTIO HERPETICA TRACTUS GASTROINTESTINALIS
0543A	MENINGITIS HERPETICA	MENINGITIS HERPETICA
0543B	ENCEPHALITIS HERPETI	ENCEPHALITIS HERPETICA
0544A	HERPES PALPEBR OCULI	HERPES SIMPLEX PALPEBRAE OCULI
0544B	KERATIT DENDRIT,HERP	KERATITIS DENDRITICA, HERPETICA
0544C	KERATIT DISCIF,HERPE	KERATITIS DISCIFORMIS, HERPETICA
0544D	HERPES+IRIDOCYCLITIS	HERPES SIMPLEX CUM IRIDOCYCLITIDE
0544X	MUU HERPES SILMÄKOMP	HERPES SIMPLEX CUM COMPLICATIONE OPHTALMICA ALIA
0545A	HERPES GENERALISATUS	HERPES SIMPLEX GENERALISATUS
0546A	PARONYCHIA HERPETICA	PARONYCHIA HERPETICA
0547A	HERPES+OTITIS EXTERN	HERPES SIMPLEX CUM OTITIDE EXTERNI
0547X	HERPES+COMPLICAT ALI	HERPES SIMPLEX CUM COMPLICATIONE ALIA
0548X	HERPES SIMPLEX ALIA	HERPES SIMPLEX ALIA DEFINITA
0549X	HERPES SINE COMPLICA	HERPES SIMPLEX SINE COMPLICATIONE
055	MORBILLI	MORBILLI
0550A	ENKEFALI POST MORBIL	ENCEPHALITIS POST MORBILLOS
0551A	PNEUMONI POST MORBIL	PNEUMONIA POST MORBILLOS
0552A	OTIT MED POST MORBIL	OTITIS MEDIA POST MORBILLOS
0557X	MORBILLI+COMPLIC ALI	MORBILLI CUM COMPLICATIONE ALIA
0558X	MORBILLI ALIA DEFINI	MORBILLI ALIA DEFINITA
0559X	MORBILLI SINE COMPLI	MORBILLI SINE COMPLICATIONE
056	RUBELLA	RUBELLA
0560A	RUBELLA+CNS COMPLICA	RUBELLA CUM COMPLICATIONE SYSTEMATIS NERVORUM
0567A	RUBELLA + ARTHRITIS	RUBELLA CUM ARTHRITIDE
0567X	RUBELLA + COMPL ALIA	RUBELLA CUM COMPLICATIONE ALIA DEFINITA
0568X	RUBELLA + COMPL NUD	RUBELLA CUM COMPLICATIONE NON DEFINITA
0569A	RUBELLA SINE COMPLIC	RUBELLA SINE COMPLICATIONE
0569X	RUBELLA NUD	RUBELLA NUD
057	MUUT VIRUSIHOTTUMAT	MUUT VIRUKSEN AIHEUTTAMAT IHOTTUMAT
0570A	ERYTHEMA INFECTIOSUM	ERYTHEMA INFECTIOSUM
0578A	EXANTHEMA SUBITUM	EXANTHEMA SUBITUM
0578X	EXANTHEMA VIROG ALIA	EXANTHEMA VIROGENA ALIA
0579X	EXANTHEMA VIROG NUD	EXANTHEMA VIROGENA NUD
060	FEBRIS FLAVA	FEBRIS FLAVA
0600A	FEBR FLAVA SILVATICA	FEBRIS FLAVA SILVATICA
0601A	FEBRIS FLAVA URBANA	FEBRIS FLAVA URBANA
0609X	FEBRIS FLAVA NUD	FEBRIS FLAVA NUD
061	FEBRIS DENGUE	FEBRIS DENGUE
0610A	FEBRIS DENGUE	FEBRIS DENGUE
062	ENKEF VIROS/MOSQUITO	ENCEPHALITIS VIROSA PER MOSQUITOS
0620A	ENKEFALITIS JAPONICA	ENCEPHALITIS JAPONICA
0621A	ENKEF EQUINA OCCIDEN	ENCEPHALITIS EQUINA OCCIDENTALIS
0622A	ENKEF EQUINA ORIENTA	ENCEPHALITIS EQUINA ORIENTALIS
0623A	ENKEFALIITT ST LOUIS	ENCEPHALITIS ST LOUIS
0624A	ENKEFALIIT AUSTRALIA	ENCEPHALITIS AUSTRALIA
0625A	ENKEFALIT CALIFORNIA	ENCEPHALITIS CALIFORNIA
0625B	ENKEFALIITTI INKOO	ENCEPHALITIS E VIROSA INKOO
0628X	VIRUSENKEF/SÄÄSKI MU	ENCEPHALITIS VIROSA PER MOSQUITOS ALIA DEFINITA
0629X	VIRUSENKEF/SÄÄSKI NU	ENCEPHALITIS VIROSA PER MOSQUITOS NUD
063	ENKEF VIROSA/PUNKKI	ENCEPHALITIS VIROSA PER IXODIDES
0630A	RSSE	MENINGOENCEPHALITIS VERNO-AESTIVALIS RUSSICA (RSSE)
0631A	"""LOUPING ILL"""	"""LOUPING ILL"""
0632A	ENKEFALIITT KUMLINGE	PUUTIAISEN VÄLITTÄMÄ ENKEFALIITTI (KUMLINGE)
0632B	ENKEF KESKI-EUROOPPA	ENCEPHALITIS EUROPAA CENTRALIS
0638X	VIRUSENKEF/PUNKKI MU	ENCEPHALITIS VIROSA PER IXODIDAM ALIA
0639X	VIRUSENKEF/PUNKKI NU	ENCEPHALITIS VIROSA PER IXODIDAM NUD
064	VIR.ENKEF/NIVELJ MUU	ENCEPHALITIS VIROSA PER ARTHROPODA ALIA
0640A	VIR.ENKEF/NIVELJ MUU	ENCEPHALITIS VIROSA PER ARTHROPODA ALIA
065	FEBR HEMORRAG/NIVELJ	FEBRIS HAEMORRHAGICA PER ARTHROPODA
0650A	FEBRIS HEMORRAG KRIM	FEBRIS HAEMORRHAGICA KRIM
0651A	FEBRIS HEMORRAG OMSK	FEBRIS HAEMORRHAGICA OMSK
0652A	MB KYASANUR FOREST	MORBUS KYASANUR FOREST
0653A	FEBR HEMOR/MUU PUNKK	FEBRIS HAEMORRHAGICA PER IXODIDAM ALIA
0654A	FEBR HEMORR/MOSQUITO	FEBRIS HAEMORRHAGICA PER MOSQUITOS
0658X	FEBR HEMOR/M.NIVELJA	FEBRIS HAEMORRHAGICA PER ARTHROPODA ALIA
0659X	FEBR HEMOR/NIVELJ NU	FEBRIS HAEMORRHAGICA PER ARTHROPODA NUD
066	VIROSES ALI/NIVELJAL	VIROSES ALIAE PER ARTHROPODA
0661A	VIROSES ALI/IXODIDES	VIROSES ALIAE PER IXODIDES
0662A	VIROS EQUINA VENEZUE	VIROSIS EQUINA VENEZUELA
0663A	VIROSES ALI/MOSQUITO	VIROSES ALIAE PER MOSQUITOS
0663B	POGOSTAN TAUTI	POGOSTAN TAUTI
0668X	VIROSES ALI/NIVELJAL	VIROSES ALIAE PER ARTHROPODA
0669X	VIROSES NUD/NIVELJAL	VIROSES NUD PER ARTHROPODA
070	HEPATITIS VIROSA	HEPATITIS VIROSA
0700A	HEPATITIS A JA KOOMA	HEPATITIS A CUM COMATE HEPATICO
0701A	HEPATIT A, EI KOOMAA	HEPATITIS A SINE COMATE HEPATICO
0702A	HEPATITIS B JA KOOMA	HEPATITIS B CUM COMATE HEPATICO
0703A	HEPATIT B, EI KOOMAA	HEPATITIS B SINE COMATE HEPATICO
0704A	EI A/B HEPATIT+KOOMA	HEPATITIS NON A, NON B CUM COMATE HEPATICO
0705A	HEPATIT EI A/B,EI KO	HEPATITIS NON A, NON B SINE COMATE HEPATICO
0706X	VIR.HEPATIT NUD+KOOM	HEPATITIS VIROSA NUD CUM COMATE HEPATICO
0709X	VI.HEPATIT NUD,EI KO	HEPATITIS VIROSA NUD SINE COMATE HEPATICO
071	RABIES	RABIES
0710A	VESIKAUHU	VESIKAUHU
072	PAROTITIS EPIDEMICA	PAROTITIS EPIDEMICA
0720A	SIKOTAUTI + ORCHITIS	PAROTITIS EPIDEMICA CUM ORCHITIDE
0721A	SIKOTAUTI+MENINGITIS	PAROTITIS EPIDEMICA CUM MENINGITIDE
0722A	SIKOTAUTI+ENCEPHALIT	PAROTITIS EPIDEMICA CUM ENCEPHALITIDE
0723A	SIKOTAUTI+PANCREATIT	PAROTITIS EPIDEMICA CUM PANCREATITIDE
0727X	SIKOTAUTI+MUU KOMPLI	PAROTITIS EPIDEMICA CUM COMPLICATIONE ALIA
0728X	SIKOTAUTI+KOMPLI NUD	PAROTITIS EPIDEMICA CUM COMPLICATIONE NON DEFINITA
0729X	SIKOTAUTI,EI KOMPLIK	PAROTITIS EPIDEMICA SINE COMPLICATIONE
073	ORNITHOSIS	ORNITHOSIS (PSITTACOSIS)
0730A	ORNITHOSIS	ORNITHOSIS (PSITTACOSIS)
074	VIROSES COXSACKIE	VIROSES COXSACKIE
0740A	HERPANGINA	HERPANGINA
0741A	PLEURODYNIA EPIDEMIC	PLEURODYNIA EPIDEMICA (BORNHOLM)
0742A	CARDITIS COXSACKIE	CARDITIS COXSACKIE
0743A	SUU- JA SORKKATAUTI	SUU- JA SORKKATAUTI
0748X	VIROS COXSACKIE ALIA	VIROSES COXSACKIE ALIA DEFINITA
075	MONONUCLEOSIS INFECT	MONONUCLEOSIS INFECTIOSA
0750A	MONONUKLEOOSI+KOMPLI	MONONUCLEOSIS INFECTIOSA CUM COMPLICATIONE
0750X	MONONUKLEOO,EI KOMPL	MONONUCLEOSIS INFECTIOSA SINE COMPLICATIONE
076	KLAMYDIAINFEKTIOT	INFECTIO CHLAMYDIAE TRACHOMATIS
0760A	TRACHOMA	TRACHOMA
0769A	CHLAMYDIA URETHRITIS	CHLAMYDIA URETHRITIS
0769B	CHLAMYDIA PROCTITIS	CHLAMYDIA PROCTITIS
0769C	KLAMYD ENDO+S-O-ITIS	CHLAMYDIA ENDOMETRITIS ET SALPINGO-OOPHORITIS
0769D	KLAMYDIA PERIHEPATIT	CHLAMYDIA PERIHEPATITIS
0769E	KLAMYDIA FARYNGIITTI	CHLAMYDIA PHARYNGITIS
0769F	KLAMYDIA KONJUNKTIVI	CHLAMYDIA CONJUNCTIVITIS
0769X	CHLAMYDIA ALIA/ NUD	CHLAMYDIA ALIA DEFINITA SEU NUD
077	VIROS CONJUNCT ALIAE	VIROSES CONJUNCTIVAE ALIAE
0770A	CONJUNCT POST INCLUS	CONJUNCTIVITIS POST INCLUSIONEM
0771A	KERATOCONJUNC EPIDEM	KERATOCONJUNCTIVITIS EPIDEMICA
0772A	FEBR FARYNGOKONJUNKT	FEBRIS PHARYNGOCONJUNCTIVALIS
0773A	CONJUNCTIV/ADENOV AL	CONJUNCTIVITIS PER ADENOVIRUS ALIUD
0774A	KONJUNKTIV EPID HEMO	CONJUNCTIVITIS EPIDEMICA HAEMORRHAGICA
0778X	VIROS CONJUNCT ALIA	VIROSES CONJUNCTIVAE ALIA DEFINITA
0779X	VIROSES CONJUNCT NUD	VIROSES CONJUNCTIVAE NUD
078	VIROSES ALIAE	VIROSES ALIAE
0780A	MOLLUSCUM CONTAGIOS	MOLLUSCUM CONTAGIOSUM
0781A	VERRUCA VULGARIS	VERRUCA VULGARIS
0781B	VERRUCA PLANA	VERRUCA PLANA
0781C	CONDYLOMA ACCUMINAT	CONDYLOMA ACCUMINATUM
0781D	PAPULOSIS BOWEN	PAPULOSIS BOWEN
0783A	CAT-SCRATCH DISEASE	"""CAT-SCRATCH DISEASE"""
0785A	MONONUCLEOS CYTOMEGA	MONONUCLEOSIS INFECTIOSA CYTOMEGALICA
0785B	HEPATITIS CYTOMEGALI	HEPATITIS CYTOMEGALICA
0785C	PNEUMONITIS CYTOMEGA	PNEUMONITIS CYTOMEGALICA
0785X	VIROSIS ALIA CYTOMEG	VIROSIS ALIA CYTOMEGALICA
0786A	NEPHROPATHIA EPIDEMI	NEPHROPATHIA EPIDEMICA
0786B	NEFROSONEFRIT HEMORR	NEPHROSONEPHRITIS HAEMORRHAGICA
0787A	FEBR HEMORR ARENAVIR	FEBRIS HAEMORRHAGICA EX ARENAVIRO
0787X	VIROSIS HAEMORR ALIA	VIROSIS HAEMORRHAGICA ALIA
0788A	HIV-PRIMAARI-INFEKTI	HIV-PRIMAARI-INFEKTIO JA OIREETON KANTAJAVAIHE
0788B	OIREINEN HIV-INFEKTI	HIV-INFEKTIO,OIREISET TAUDINKUVAT
0788C	AIDS,IMMUUNIKATO	AIDS, IMMUUNIKATO
0788D	MUUT RETROVIR TAUDIT	MUIDEN RETROVIRUSTEN AIHEUTTAMAT TAUTITILAT
0788X	VIROSES ALIA DEFINIT	VIROSES ALIA DEFINITA
079	INFECT VIR ALTER GEN	VIRUSINF JOIDEN AIHEUTTAM.TILAT LUOKITELTU MUUALLA
0790A	ADENOVIRUSINFEKTIO	ADENOVIRUSINFEKTIO
0791A	ECHO VIRUSINFEKTIO	ECHO VIRUS INFEKTIO
0793A	RHINOVIRUS INFEKTIO	RHINOVIRUS INFEKTIO
0798X	INFECT VIROSA ALIA	INFECTIO VIROSA ALIA DEFINITA
0799X	INFECT VIROSA NUD	INFECTIO VIROSA NUD
080	TÄIPILKKUKUUME	TÄIPILKKUKUUME
0800A	TÄIPILKKUKUUME	TÄIPILKKUKUUME
081	MUUT PILKKUKUUMEET	MUUT PILKKUKUUMEET
0810A	ROTTAPILKKUKUUME	ROTTAPILKKUKUUME
0811A	MORBUS BRILL	MORBUS BRILL
0812A	"""SCRUB TYPHUS"""	PENSASPILKKUKUUME
0819X	FEBR EXANTHEM NUD	FEBRIS EXANTHEMICA (TYPHUS) NUD
082	RICKETTSIOS/IXODIDES	RICKETTSIOSIS PER IXODIDES
0820A	R.MOUNT SPOTT FEVER	"""ROCKY MOUNTAIN SPOTTED FEVER"""
0821A	FEBRIS BOUTONNOSA	FEBRIS BOUTONNOSA
0828X	RICKETTSIOS/IXOD ALI	RICKETTSIOSIS PER IXODIDES ALIA DEFINITA
0829X	RICKETTSIOS/IXOD NUD	RICKETTSIOSIS PER IXODIDES NUD
083	RICKETTSIOSES ALIAE	RICKETTSIOSES ALIAE
0830A	"""Q FEVER"""	"""Q FEVER"""
0831A	"""TRENCH FEVER"""	"""TRENCH FEVER"""
0832A	VARIOLA/ RICKETTSIAM	VARIOLA PER RICKKETSIAM
0838X	RICKETTSIOSES ALIA	RICKETTSIOSES ALIA DEFINITA
0839X	RICKETTSIOSES NUD	RICKETTSIOSES NUD
084	MALARIA	MALARIA
0840A	FALCIPARA MALARIA	FALCIPARA MALARIA
0841A	VIVAX MALARIA	VIVAX MALARIA
0842A	MALARIA QUARTANA	QUARTAN MALARIA
0843A	MALARIA OVALE	OVALE MALARIA
0844X	MALARIA ALIA	MALARIA ALIA
0845A	MALARIA MIXTA	MALARIA MIXTA
0846X	MALARIA NUD	MALARIA NUD
0847A	MALARIA INDUCTA	MALARIA INDUCTA
0848A	MUSTAVESIKUUME	MUSTAVESIKUUME
0849X	MALARIA+COMPL ALIA	MALRIA CUM COMPLICATIONE ALIA GRAVI
085	LEISHMANIOSIS	LEISHMANIOSIS
0850A	KALA-AZAR	LEISHMANIOSIS VISCERALE (KALA-AZAR)
0855A	LEISHMANIOS MUCOCUTA	LEISHMANIOSIS MUCOCUTANEA
0859X	LEISHMANIOSIS NUD	LEISHMANIOSIS NUD
086	TRYPANOSOMIASIS	TRYPANOSOMIASIS
0860A	MB CHAGAS+MYOCARDIT	MORBUS CHAGAS CUM MYOCARDITIDE
0861A	MB CHAGAS+MANIFE ALI	MORBUS CHAGAS CUM MANIFESTATIONE ORGANORUM ALIORUM
0862A	MB CHAGAS SINE MANIF	MORBUS CHAGAS SINE MANIFESTATIONE ORGANORUM
0863A	TRYPANOSOMIAS GAMBIA	TRYPANOSOMIASIS GAMBIA
0864A	TRYPANOSOMIAS RHODES	TRYPANOSOMIASIS RHODESIA
0865A	TRYPANOSOM AFRIC ALI	TRYPANOSOMIASIS AFRICANA ALIA DEFINITA
0869X	TRYPANOSOMIASIS NUD	TRYPANOSOMIASIS NUD
087	TOISINTOKUUME	FEBRIS RECURRENS
0870A	FEBR RECUR/PEDICULU	FEBRIS RECURRENS PER PEDIICULUM
0871A	FEBR RECUR/IXODIDES	FEBRIS RECURRENS PER IXODIDES
0879X	FEBR RECURRENS NUD	FEBRIS RECURRENS NUD
088	MB PER ARTHROPODA AL	MORBI PER ARTHROPODA ALIA
0880A	BARTONELLOSIS	BARTONELLOSIS
0888X	MB PER ARTHROPODA AL	MORBUS PER ARTHROPODAS ALIA DEFINITA
0889X	MB PER ARTHROPOD NUD	MORBUS PER ARTHROPODAS NUD
090	SYPHILIS CONGENITA	SYNNYNNÄINEN KUPPA
0900A	TUORE SYN KUPPA,SYMP	SYPHILIS CONGENITA RECENS,SYMPTOMATA
0901A	TUORE SYN KUPPA,LATE	SYPHILIS CONGENITA RECENS, LATENS
0902A	TUORE SYNN KUPPA NUD	SYPHILIS CONGENITA RECENS, NUD
0903A	KERATIT INTERST SYPH	KERATITIS INTERSTITIALIS SYPHILITICA
0904A	NEUROSYFILIS JUVENIL	NEUROSYPHILIS JUVENILIS
0905A	SYFI CONG TARDA,SYMP	SYPHILIS CONGENITA TARDA, SYMPTOMATICA
0906A	SYFI CONG TARDA,LATE	SYPHILIS CONGENITA TARDA, LATENS
0907A	SYFIL CONG TARDA NUD	SYPHILIS CONGENITA TARDA NON DEFINITA
0909X	SYFIL CONGENITA NUD	SYPHILIS CONGENITA NUD
091	SYPHIL RECENS SYMPTO	SYPHILIS RECENS SYMPTOMATICA
0910A	INF PRIM SYF GENITAL	INFECTIO PRIMARIA SYPHILITICA GENITALIS
0911A	INF PRIM SYFI ANALIS	INFECTIO PRIMARIA SYPHILITICA ANALIS
0912A	INF PRIM SYFILI ALIA	INFECTIO PRIMARIA SYPHILITICA ALIA
0913A	SYFIL SECUND CUTANEA	SYPHILIS SECUNDARIA CUTANEA SIVE MUCOSA
0914A	LYMFADENI SYF SECUND	LYMPHADENITIS SYPHILITICA SECUNDARIA
0915A	UVEITIS SYFIL SECUND	UVEITIS SYPHILITICA SECUNDARIA
0917A	SYF SECUND RECURRENS	SYPHILIS SECUNDARIA RECURRENS
0918X	SYPHILIS SECUND ALIA	SYPHILIS SECUNDARIA ALIA
0919X	SYPHILIS SECUND NUD	SYPHILIS SECUNDARIA NUD
092	SYFILIS RECENS,LATEN	SYPHILIS RECENS, LATENS
0920A	SYF SERO+ POST CURAM	RECIDIVA SEROLOGICA POST CURAM MEDICAM
0929X	SYF RECENS LATEN NUD	SYPHILIS RECENS, LATENS NUD
093	SYFILIS CARDIOVASCUL	SYPHILIS CARDIOVASCULARIS
0930A	ANEURYSMA SYF AORTAE	ANEURYSMA SYPHILITICUM AORTAE
0931A	AORTITIS SYPHILITICA	AORTITIS SYPHILITICA
0932A	ENDOCARDIT SYPHILITI	ENDOCARDITIS SYPHILITICA
0938X	SYF CARDIOVASC ALIA	SYPHILIS CARDIOVASCULARIS ALIA DEFINITA
0939X	SYF CARDIOVASCUL NUD	SYPHILIS CARDIOVASCULARIS NUD
094	NEUROSYPHILIS	NEUROSYPHILIS
0940A	TABES DORSALIS SYFIL	TABES DORSALIS SYPHILITICA
0941A	DEMENT PARALYT SYFIL	DEMENTIA PARALYTICA SYPHILITICA(PARALYSIE GôNôRALE)
0942A	MENINGITIS SYPHILITI	MENINGITIS SYPHILITICA
