ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
0132X,AIVOTUBERKULOOMA-X,"TUBERCULOMA CEREBRI, EPÄILTY",013.2,Tuberculoma of brain,4_digit_level,013.2,"Tuberculosis of meninges and central nervous system, Tuberculoma of brain",parent_match,0
0133A,TUB AIVOABSESSI-A,"ABSCESSUS TUBERCULOSIS CEREBRI,BAKTERIOL.VARMA",013.3,Tuberculous abscess of brain,4_digit_level,013.3,"Tuberculosis of meninges and central nervous system, Tuberculous abscess of brain",parent_match,0
0133B,TUB AIVOABSESSI-B,"ABSCESSUS TUBERCULOSIS CEREBRI,HISTOLOG.VARMA",013.3,Tuberculous abscess of brain,4_digit_level,013.3,"Tuberculosis of meninges and central nervous system, Tuberculous abscess of brain",parent_match,0
0133X,TUB AIVOABSESSI-X,"ABSCESSUS TUBERCULOSIS CEREBRI,EPÄILTY",013.3,Tuberculous abscess of brain,4_digit_level,013.3,"Tuberculosis of meninges and central nervous system, Tuberculous abscess of brain",parent_match,0
0138A,TUB NERV CENTR ALI-A,"MUU KESKUSHERMOSTOTUBERKULOOSI,BAKTERIOL.VARMA",013.8,Other specified tuberculosis of central nervous system,4_digit_level,013.8,"Tuberculosis of meninges and central nervous system, Other specified tuberculosis of central nervous system",parent_match,0
0138B,TUB NERV CENTR ALI-B,"MUU KESKUSHERMOSTOTUBERKULOOSI,HISTOLOG.VARMA",013.8,Other specified tuberculosis of central nervous system,4_digit_level,013.8,"Tuberculosis of meninges and central nervous system, Other specified tuberculosis of central nervous system",parent_match,0
0138X,TUB NERV CENTR ALI-X,"MUU KESKUSHERMOSTOTUBERKULOOSI, EPÄILTY",013.8,Other specified tuberculosis of central nervous system,4_digit_level,013.8,"Tuberculosis of meninges and central nervous system, Other specified tuberculosis of central nervous system",parent_match,0
0139A,TUB NERV CENTR NUD-A,"KESKUSHERMOSTOTUBERKULOOSI NUD,BAKTER.VARMA",013.9,Unspecified tuberculosis of central nervous system,4_digit_level,013.9,"Tuberculosis of meninges and central nervous system, Unspecified tuberculosis of central nervous system",parent_match,0
0139B,TUB NERV CENTR NUD-B,"KESKUSHERMOSTOTUBERKULOOSI NUD,HISTOL.VARMA",013.9,Unspecified tuberculosis of central nervous system,4_digit_level,013.9,"Tuberculosis of meninges and central nervous system, Unspecified tuberculosis of central nervous system",parent_match,0
0139X,TUB NERV CENTR NUD-X,"KESKUSHERMOSTOTUBERKULOOSI NUD, EPÄILTY",013.9,Unspecified tuberculosis of central nervous system,4_digit_level,013.9,"Tuberculosis of meninges and central nervous system, Unspecified tuberculosis of central nervous system",parent_match,0
014,TUB GASTROINT/PERITO,TUB GASTROINTESTINALIS/PERITONEI/GLAND. MESENTER,014,"Tuberculosis of intestines, peritoneum, and mesenteric glands",4_digit_level,014,"Tuberculosis of intestines, peritoneum and mesenteric glands",full_match,0
0140A,PERITONITIS TUBERC-A,"PERITONITIS TUBERCULOSA,BAKTERIOLOGISESTI VARMA",014.0,Tuberculous peritonitis,4_digit_level,014.0,"Tuberculosis of intestines, peritoneum and mesenteric glands, Tuberculous peritonitis",parent_match,0
0140B,PERITONITIS TUBERC-B,"PERITONITIS TUBERCULOSA,HISTOLOGISESTI VARMA",014.0,Tuberculous peritonitis,4_digit_level,014.0,"Tuberculosis of intestines, peritoneum and mesenteric glands, Tuberculous peritonitis",parent_match,0
0140X,PERITONITIS TUBERC-X,"PERITONITIS TUBERCULOSA,EPÄILTY",014.0,Tuberculous peritonitis,4_digit_level,014.0,"Tuberculosis of intestines, peritoneum and mesenteric glands, Tuberculous peritonitis",parent_match,0
0148A,TUB GASTROINTESTIN-A,"TUB GASTROINTESTI/GLAND.MESENTERIC,BAKTER.VARMA",014.8,Tuberculosis of intestines and mesenteric glands,4_digit_level,014.8,"Tuberculosis of intestines, peritoneum and mesenteric glands, Other",parent_match,0
0148B,TUB GASTROINTESTIN-B,"TUB GASTROINTESTI/GLAND.MESENTERIC,HISTOL.VARMA",014.8,Tuberculosis of intestines and mesenteric glands,4_digit_level,014.8,"Tuberculosis of intestines, peritoneum and mesenteric glands, Other",parent_match,0
0148X,TUB GASTROINTESTIN-X,"TUB GASTROINTESTI/GLAND.MESENTERIC,EPÄILTY",014.8,Tuberculosis of intestines and mesenteric glands,4_digit_level,014.8,"Tuberculosis of intestines, peritoneum and mesenteric glands, Other",parent_match,0
015,TUB OSSIUM/ARTICULOR,TUBERCULOSIS OSSIUM ET ARTICULORUM,015,Tuberculosis of bones and joints,4_digit_level,015,Tuberculosis of bones and joints,full_match,0
0150A,SELKÄRANKATUBERKUL-A,"SELKÄRANKATUBERKULOOSI,BAKTERIOLOGISESTI VARMA",015.0,Tuberculosis of vertebral column,4_digit_level,015.0,"Tuberculosis of bones and joints, Vertebral column",parent_match,0
0150B,SELKÄRANKATUBERKUL-B,"SELKÄRANKATUBERKULOOSI,HISTOLOGISESTI VARMA",015.0,Tuberculosis of vertebral column,4_digit_level,015.0,"Tuberculosis of bones and joints, Vertebral column",parent_match,0
0150X,SELKÄRANKATUBERKUL-X,"SELKÄRANKATUBERKULOOSI,EPÄILTY",015.0,Tuberculosis of vertebral column,4_digit_level,015.0,"Tuberculosis of bones and joints, Vertebral column",parent_match,0
0151A,TUBERCULOSIS COXAE-A,"TUBERCULOSIS COXAE,BAKTERIOLOGISESTI VARMA",015.1,Tuberculosis of hip,4_digit_level,015.1,"Tuberculosis of bones and joints, Hip",parent_match,0
0151B,TUBERCULOSIS COXAE-B,"TUBERCULOSIS COXAE,HISTOLOGISESTI VARMA",015.1,Tuberculosis of hip,4_digit_level,015.1,"Tuberculosis of bones and joints, Hip",parent_match,0
0151X,TUBERCULOSIS COXAE-X,"TUBERCULOSIS COXAE,EPÄILTY",015.1,Tuberculosis of hip,4_digit_level,015.1,"Tuberculosis of bones and joints, Hip",parent_match,0
0152A,TUBECULOSIS GENUS-A,"TUBERCULOSIS GENUS,BAKTERIOLOGISESTI VARMA",015.2,Tuberculosis of knee,4_digit_level,015.2,"Tuberculosis of bones and joints, Knee",parent_match,0
0152B,TUBECULOSIS GENUS-B,"TUBERCULOSIS GENUS,HISTOLOGISESTI VARMA",015.2,Tuberculosis of knee,4_digit_level,015.2,"Tuberculosis of bones and joints, Knee",parent_match,0
0152X,TUBECULOSIS GENUS-X,"TUBERCULOSIS GENUS,EPÄILTY",015.2,Tuberculosis of knee,4_digit_level,015.2,"Tuberculosis of bones and joints, Knee",parent_match,0
0155A,TUB OSSIS EXTREMI-A,"TUBERCULOSIS OSSIS EXTREMITATUM,BAKTERIOL.VARMA",015.5,Tuberculosis of limb bones,4_digit_level,015.5,"Tuberculosis of bones and joints, Limb bones",parent_match,0
0155B,TUB OSSIS EXTREMI-B,"TUBERCULOSIS OSSIS EXTREMITATUM,HISTOLOG.VARMA",015.5,Tuberculosis of limb bones,4_digit_level,015.5,"Tuberculosis of bones and joints, Limb bones",parent_match,0
0155X,TUB OSSIS EXTREMI-X,"TUBERCULOSIS OSSIS EXTREMITATUM,EPÄILTY",015.5,Tuberculosis of limb bones,4_digit_level,015.5,"Tuberculosis of bones and joints, Limb bones",parent_match,0
0157A,TUB OSSIS ALTERIU-A,"TUBERCULOSIS OSSIS ALTERIUS,BAKTERIOLOG.VARMA",015.7,Tuberculosis of other specified bone,4_digit_level,015.7,"Tuberculosis of bones and joints, Other specified bone",parent_match,0
0157B,TUB OSSIS ALTERIU-B,"TUBERCULOSIS OSSIS ALTERIUS,HISTOLOGIS. VARMA",015.7,Tuberculosis of other specified bone,4_digit_level,015.7,"Tuberculosis of bones and joints, Other specified bone",parent_match,0
0157X,TUB OSSIS ALTERIU-X,"TUBERCULOSIS OSSIS ALTERIUS,EPÄILTY",015.7,Tuberculosis of other specified bone,4_digit_level,015.7,"Tuberculosis of bones and joints, Other specified bone",parent_match,0
0158A,TUB ARTICULI ALII-A,"TUBERCULOSIS ARTICULI ALII,BAKTERIOLOG.VARMA",015.8,Tuberculosis of other specified joint,4_digit_level,015.8,"Tuberculosis of bones and joints, Other specified joint",parent_match,0
0158B,TUB ARTICULI ALII-B,"TUBERCULOSIS ARTICULI ALII,HISTOLOG.VARMA",015.8,Tuberculosis of other specified joint,4_digit_level,015.8,"Tuberculosis of bones and joints, Other specified joint",parent_match,0
0158X,TUB ARTICULI ALII-X,"TUBERCULOSIS ARTICULI ALII,EPÄILTY",015.8,Tuberculosis of other specified joint,4_digit_level,015.8,"Tuberculosis of bones and joints, Other specified joint",parent_match,0
0159A,LUU/NIVEL TUB NUD-A,"TUB OSSIUM ET ARTICULORUM NUD,BAKTERIOLOG.VARMA",015.9,Tuberculosis of unspecified bones and joints,4_digit_level,015.9,"Tuberculosis of bones and joints, Tuberculosis of unspecified bones and joints",parent_match,0
0159B,LUU/NIVEL TUB NUD-B,"TUB OSSIUM ET ARTICULORUM NUD,HISTOLOG.VARMA",015.9,Tuberculosis of unspecified bones and joints,4_digit_level,015.9,"Tuberculosis of bones and joints, Tuberculosis of unspecified bones and joints",parent_match,0
0159X,LUU/NIVEL TUB NUD-X,"TUB OSSIUM ET ARTICULORUM NUD,EPÄILTY",015.9,Tuberculosis of unspecified bones and joints,4_digit_level,015.9,"Tuberculosis of bones and joints, Tuberculosis of unspecified bones and joints",parent_match,0
016,TUB UROGENITALIS,TUBERCULOSIS SYSTEMATIS UROGENITALIS,016,Tuberculosis of genitourinary system,4_digit_level,016,Tuberculosis of genito-urinary system,full_match,0
0160A,TUBERCULOSIS RENIS-A,"TUBERCULOSIS RENIS,BAKTERIOLOGISESTI VARMENNETTU",016.0,Tuberculosis of kidney,4_digit_level,016.0,"Tuberculosis of genito-urinary system, Kidney",parent_match,0
0160B,TUBERCULOSIS RENIS-B,"TUBERCULOSIS RENIS,HISTOLOGISESTI VARMENNETTU",016.0,Tuberculosis of kidney,4_digit_level,016.0,"Tuberculosis of genito-urinary system, Kidney",parent_match,0
0160X,TUBERCULOSIS RENIS-X,"TUBERCULOSIS RENIS,EPÄILTY",016.0,Tuberculosis of kidney,4_digit_level,016.0,"Tuberculosis of genito-urinary system, Kidney",parent_match,0
0161A,TUB VESICAE URINAR-A,"TUBERCULOSIS VESICAE URINARIAE,BAKTERIOL.VARMA",016.1,Tuberculosis of bladder,4_digit_level,016.1,"Tuberculosis of genito-urinary system, Bladder",parent_match,0
0161B,TUB VESICAE URINAR-B,"TUBERCULOSIS VESICAE URINARIAE,HISTOLOG.VARMA",016.1,Tuberculosis of bladder,4_digit_level,016.1,"Tuberculosis of genito-urinary system, Bladder",parent_match,0
0161X,TUB VESICAE URINAR-X,"TUBERCULOSIS VESICAE URINARIAE,EPÄILTY",016.1,Tuberculosis of bladder,4_digit_level,016.1,"Tuberculosis of genito-urinary system, Bladder",parent_match,0
0162A,TUBERCUL URETERIS-A,"TUBERCULOSIS URETERIS,BAKTERIOLOGISESTI VARMA",016.2,Tuberculosis of ureter,4_digit_level,016.2,"Tuberculosis of genito-urinary system, Ureter",parent_match,0
0162B,TUBERCUL URETERIS-B,"TUBERCULOSIS URETERIS,HISTOLOGISESTI VARMA",016.2,Tuberculosis of ureter,4_digit_level,016.2,"Tuberculosis of genito-urinary system, Ureter",parent_match,0
0162X,TUBERCUL URETERIS-X,"TUBERCULOSIS URETERIS,EPÄILTY",016.2,Tuberculosis of ureter,4_digit_level,016.2,"Tuberculosis of genito-urinary system, Ureter",parent_match,0
0163A,TUB SYST URINAR AL-A,"TUB SYSTEMATIS URINARIAE ALIA,BAKTERIOLOG.VARMA",016.3,Tuberculosis of other urinary organs,4_digit_level,016.3,"Tuberculosis of genito-urinary system, Other urinary organs",parent_match,0
0163B,TUB SYST URINAR AL-B,"TUB SYSTEMATIS URINARIAE ALIA,HISTOLOG.VARMA",016.3,Tuberculosis of other urinary organs,4_digit_level,016.3,"Tuberculosis of genito-urinary system, Other urinary organs",parent_match,0
0163X,TUB SYST URINAR AL-X,"TUB SYSTEMATIS URINARIAE ALIA,EPÄILTY",016.3,Tuberculosis of other urinary organs,4_digit_level,016.3,"Tuberculosis of genito-urinary system, Other urinary organs",parent_match,0
0164A,TUB EPIDIDYMIDIS-A,"TUBERCULOSIS EPIDIDYMIDIS,BAKTERIOLOG. VARMA",016.4,Tuberculosis of epididymis,4_digit_level,016.4,"Tuberculosis of genito-urinary system, Epididymis",parent_match,0
0164B,TUB EPIDIDYMIDIS-B,"TUBERCULOSIS EPIDIDYMIDIS,HISTOLOGISETI VARMA",016.4,Tuberculosis of epididymis,4_digit_level,016.4,"Tuberculosis of genito-urinary system, Epididymis",parent_match,0
0164X,TUB EPIDIDYMIDIS-X,"TUBERCULOSIS EPIDIDYMIDIS,EPÄILTY",016.4,Tuberculosis of epididymis,4_digit_level,016.4,"Tuberculosis of genito-urinary system, Epididymis",parent_match,0
0165A,TUB ORG GEN VIRIL-A,"TUB ORGANORUM GENITALIUM VIRILIUM,BAKTER.VARMA",016.5,Tuberculosis of other male genital organs,4_digit_level,016.5,"Tuberculosis of genito-urinary system, Other male genital organs",parent_match,0
0165B,TUB ORG GEN VIRIL-B,"TUB ORGANORUM GENITALIUM VIRILIUM,HISTOL.VARMA",016.5,Tuberculosis of other male genital organs,4_digit_level,016.5,"Tuberculosis of genito-urinary system, Other male genital organs",parent_match,0
0165X,TUB ORG GEN VIRIL-X,"TUB ORGANORUM GENITALIUM VIRILIUM,EPÄILTY",016.5,Tuberculosis of other male genital organs,4_digit_level,016.5,"Tuberculosis of genito-urinary system, Other male genital organs",parent_match,0
0166A,OOPHOR/SALPING TUB-A,"OOPHORITIS/SALPINGITIS TUBERCULOSA,BAKTER.VARMA",016.6,Tuberculous oophoritis and salpingitis,4_digit_level,016.6,"Tuberculosis of genito-urinary system, Tuberculous oophoritis and salpingitis",parent_match,0
0166B,OOPHOR/SALPING TUB-B,"OOPHORITIS/SALPINGITIS TUBERCULOSA,BAKTER.VARMA",016.6,Tuberculous oophoritis and salpingitis,4_digit_level,016.6,"Tuberculosis of genito-urinary system, Tuberculous oophoritis and salpingitis",parent_match,0
0166X,OOPHOR/SALPING TUB-X,"OOPHORITIS/SALPINGITIS TUBERCULOSA,EPÄILTY",016.6,Tuberculous oophoritis and salpingitis,4_digit_level,016.6,"Tuberculosis of genito-urinary system, Tuberculous oophoritis and salpingitis",parent_match,0
0167A,TUB ORG GEN MULIER-A,"TUB ORGANORUM GENITALIUM MULIERIS,BAKTER.VARMA",016.7,Tuberculosis of other female genital organs,4_digit_level,016.7,"Tuberculosis of genito-urinary system, Other female genital organs",parent_match,0
0167B,TUB ORG GEN MULIER-B,"TUB ORGANORUM GENITALIUM MULIERIS,HISTOL.VARMA",016.7,Tuberculosis of other female genital organs,4_digit_level,016.7,"Tuberculosis of genito-urinary system, Other female genital organs",parent_match,0
0167X,TUB ORG GEN MULIER-X,"TUB ORGANORUM GENITALIUM MULIERIS,EPÄILTY",016.7,Tuberculosis of other female genital organs,4_digit_level,016.7,"Tuberculosis of genito-urinary system, Other female genital organs",parent_match,0
0169A,TUB UROGENITAL NUD-A,"TUBERCULOSIS UROGENITALIS NUD,BAKTERIOL.VARMA",016.9,"Genitourinary tuberculosis, unspecified",4_digit_level,016.9,"Tuberculosis of genito-urinary system, Genito-urinary tuberculosis, unspecified",parent_match,0
0169B,TUB UROGENITAL NUD-B,"TUBERCULOSIS UROGENITALIS NUD,HISTOLOG.VARMA",016.9,"Genitourinary tuberculosis, unspecified",4_digit_level,016.9,"Tuberculosis of genito-urinary system, Genito-urinary tuberculosis, unspecified",parent_match,0
0169X,TUB UROGENITAL NUD-X,"TUBERCULOSIS UROGENITALIS NUD,EPÄILTY",016.9,"Genitourinary tuberculosis, unspecified",4_digit_level,016.9,"Tuberculosis of genito-urinary system, Genito-urinary tuberculosis, unspecified",parent_match,0
017,TUB ALIORUM ORGANORU,TUBERCULOSIS ALIORUM ORGANORUM,017,Tuberculosis of other organs,4_digit_level,017,Tuberculosis of other organs,full_match,0
0170A,TUB VERRUCOSA CUTIS,TUBERCULOSIS VERRUCOSA CUTIS,017.0,Tuberculosis of skin and subcutaneous cellular tissue,4_digit_level,017.0,"Tuberculosis of other organs, Skin and subcutaneous cellular tissue",parent_match,0
0170B,LUPUS VULGARIS,LUPUS VULGARIS,017.0,Tuberculosis of skin and subcutaneous cellular tissue,4_digit_level,017.0,"Tuberculosis of other organs, Skin and subcutaneous cellular tissue",parent_match,0
0170C,SCROPHULODERMA,SCROPHULODERMA,017.0,Tuberculosis of skin and subcutaneous cellular tissue,4_digit_level,017.0,"Tuberculosis of other organs, Skin and subcutaneous cellular tissue",parent_match,0
0170X,TUB CUTIS/SUBCUT ALI,TUBERCULOSIS CUTIS ET SUBCUTIS ALTERIUS GENERIS,017.0,Tuberculosis of skin and subcutaneous cellular tissue,4_digit_level,017.0,"Tuberculosis of other organs, Skin and subcutaneous cellular tissue",parent_match,0
0171A,ERYTHEMA NOD TUBERCU,ERYTHEMA NODOSUM TUBERCULOSUM,017.1,Erythema nodosum with hypersensitivity reaction in tuberculosis,4_digit_level,017.1,"Tuberculosis of other organs, Erythema nodosum with hypersensitivity reaction in tuberculosis",parent_match,0
0171B,ERYTHEMA INDURAT TUB,ERYTHEMA INDURATUM TUBERCULOSUM (BAZIN),017.1,Erythema nodosum with hypersensitivity reaction in tuberculosis,4_digit_level,017.1,"Tuberculosis of other organs, Erythema nodosum with hypersensitivity reaction in tuberculosis",parent_match,0
0171C,TUBERCULID PAPULONEC,TUBERCULIDES PAPULONECROTICA,017.1,Erythema nodosum with hypersensitivity reaction in tuberculosis,4_digit_level,017.1,"Tuberculosis of other organs, Erythema nodosum with hypersensitivity reaction in tuberculosis",parent_match,0
0171D,LICHEN SCROFULOSORUM,LICHEN SCROFULOSORUM,017.1,Erythema nodosum with hypersensitivity reaction in tuberculosis,4_digit_level,017.1,"Tuberculosis of other organs, Erythema nodosum with hypersensitivity reaction in tuberculosis",parent_match,0
0172A,RAUHASTUBERKULOOSI,TUBERCULOSIS LYMPHONODORUM PERIPHERICORUM,017.2,Tuberculosis of peripheral lymph nodes,4_digit_level,017.2,"Tuberculosis of other organs, Peripheral lymph nodes",unique_parent_match,0
0173A,TUBERCULOSIS OCULI,TUBERCULOSIS OCULI,017.3,Tuberculosis of eye,4_digit_level,017.3,"Tuberculosis of other organs, Eye",unique_parent_match,0
0174A,TUBERCULOSIS AURIS,TUBERCULOSIS AURIS,017.4,Tuberculosis of ear,4_digit_level,017.4,"Tuberculosis of other organs, Ear",unique_parent_match,0
0175A,TUB GLAND THYREOIDEA,TUBERCULOSIS GLANDULAE THYREOIDEAE,017.5,Tuberculosis of thyroid gland,4_digit_level,017.5,"Tuberculosis of other organs, Thyroid gland",unique_parent_match,0
0176A,TUB GLAND SUPRARENAL,TUBERCULOSIS GLANDULAE SUPRARENALIS,017.6,Tuberculosis of adrenal glands,4_digit_level,017.6,"Tuberculosis of other organs, Adrenal glands",unique_parent_match,0
0177A,TUBERCULOSIS LIENIS,TUBERCULOSIS LIENIS,017.7,Tuberculosis of spleen,4_digit_level,017.7,"Tuberculosis of other organs, Spleen",unique_parent_match,0
0178A,TUBERCULOSIS ESOFAGI,TUBERCULOSIS OESOPHAGI,017.8,Tuberculosis of esophagus,4_digit_level,017.8,"Tuberculosis of other organs, Oesophagus",parent_match,0
0178X,TUB ALIORUM ORGANORU,TUBERCULOSIS ALIORUM ORGANORUM,017.8,Tuberculosis of esophagus,4_digit_level,017.8,"Tuberculosis of other organs, Oesophagus",parent_match,0
018,"TUB DISSEMIN,MILIARI",TUBERCULOSIS DISSEMINATA,018,Miliary tuberculosis,4_digit_level,018,Miliary tuberculosis,full_match,0
0180A,TUB DISSEMIN ACUTA-A,"TUBERCULOSIS DISSEMINATA ACUTA,BAKTERIOL.VARMA",018.0,Acute miliary tuberculosis,4_digit_level,018.0,"Miliary tuberculosis, Acute miliary tuberculosis",parent_match,0
0180B,TUB DISSEMIN ACUTA-B,"TUBERCULOSIS DISSEMINATA ACUTA,HISTOLOG.VARMA",018.0,Acute miliary tuberculosis,4_digit_level,018.0,"Miliary tuberculosis, Acute miliary tuberculosis",parent_match,0
0180X,TUB DISSEMIN ACUTA-X,"TUBERCULOSIS DISSEMINATA ACUTA,EPÄILTY",018.0,Acute miliary tuberculosis,4_digit_level,018.0,"Miliary tuberculosis, Acute miliary tuberculosis",parent_match,0
0189A,TUB DISSEMINAT NUD-A,"TUBERCULOSIS DISSEMINATA NUD,BAKTERIOLOG.VARMA",018.9,Unspecified miliary tuberculosis,4_digit_level,018.9,"Miliary tuberculosis, unspecified",parent_match,0
0189B,TUB DISSEMINAT NUD-B,"TUBERCULOSIS DISSEMINATA NUD,HISTOLOGIS. VARMA",018.9,Unspecified miliary tuberculosis,4_digit_level,018.9,"Miliary tuberculosis, unspecified",parent_match,0
0189X,TUB DISSEMINAT NUD-X,"TUBERCULOSIS DISSEMINATA NUD,EPÄILTY",018.9,Unspecified miliary tuberculosis,4_digit_level,018.9,"Miliary tuberculosis, unspecified",parent_match,0
020,PESTIS,PESTIS,020,Plague,4_digit_level,020,Plague,full_match,0
0200A,PESTIS BUBONICA,PESTIS BUBONICA,020.0,Bubonic plague,4_digit_level,020.0,"Plague, Bubonic",unique_parent_match,0
0201A,PESTIS CELLULOCUTANE,PESTIS CELLULOCUTANEA,020.1,Cellulocutaneous plague,4_digit_level,020.1,"Plague, Cellulocutaneous",unique_parent_match,0
0202A,PESTIS SEPTICHAEMICA,PESTIS SEPTICHAEMICA,020.2,Septicemic plague,4_digit_level,020.2,"Plague, Septicaemic",unique_parent_match,0
0203A,PESTIS PULM PRIMARIA,PESTIS PULMONIS PRIMARIA,020.3,Primary pneumonic plague,4_digit_level,020.3,"Plague, Primary pneumonic",unique_parent_match,0
0204A,PESTIS PULM SECUNDAR,PESTIS PULMONIS SECUNDARIA,020.4,Secondary pneumonic plague,4_digit_level,020.4,"Plague, Secondary pneumonic",unique_parent_match,0
0205A,PESTIS PULM NON DEFI,PESTIS PULMONIS NON DEFINITA,020.5,"Pneumonic plague, unspecified",4_digit_level,020.5,"Plague, Pneumonic, unspecified",unique_parent_match,0
